P_intervals,vehicle_speed_kmh,status,elapsed_seconds,MIPGap,objective,total_swaps,Time_Gap,num_visited,makespan_hrs
8,20,OPTIMAL (全局最优),94.06,0.0,0.65109,14,0.106486,7,0.8042
8,30,OPTIMAL (全局最优),108.93,0.0,0.661895,16,0.187181,7,0.6695
8,40,OPTIMAL (全局最优),120.31,0.0,0.663237,16,0.232291,7,0.6137
8,50,OPTIMAL (全局最优),120.47,0.0,0.663237,16,0.258976,7,0.555
12,20,OPTIMAL (全局最优),197.36,0.9889,0.876807,18,0.027762,10,0.9241
12,30,OPTIMAL (全局最优),258.08,0.2647,1.031058,20,0.061457,11,0.8621
12,40,OPTIMAL (全局最优),252.15,0.0,1.03682,20,0.10671,10,0.7202
12,50,OPTIMAL (全局最优),254.23,0.0,1.054446,20,0.143304,11,0.7183
16,20,OPTIMAL (全局最优),242.77,0.181,0.936774,18,0.062143,11,0.8789
16,30,OPTIMAL (全局最优),161.98,0.978,1.15302,20,0.037412,12,0.9068
16,40,OPTIMAL (全局最优),161.92,0.2301,1.222171,20,0.062583,12,0.7569
16,50,OPTIMAL (全局最优),273.0,0.1875,1.233891,20,0.079601,13,0.7238
