hour,h3,rent,return,low_power_bike_count,soon_low_power_bike_count,normal_power_bike_count
0,8940e30869bffff,0,0,0,0,0
0,8940e3086c3ffff,2,1,0,3,13
0,8940e3086d3ffff,2,2,1,4,8
0,8940e3086d7ffff,0,0,0,0,1
0,8940e3086dbffff,0,0,0,0,2
0,8940e309453ffff,0,0,0,0,0
0,8940e30948bffff,0,0,0,0,0
0,8940e309493ffff,0,0,0,0,0
0,8940e30949bffff,1,2,1,4,11
0,8940e3094c3ffff,0,0,0,1,8
0,8940e3094cbffff,2,1,0,5,11
0,8940e3094cfffff,0,0,0,1,0
0,8940e3094d3ffff,0,0,0,0,1
0,8940e3094d7ffff,1,1,0,2,8
0,8940e3094dbffff,0,1,0,1,1
0,8940e309693ffff,0,0,0,1,2
0,8940e30969bffff,0,0,0,0,1
0,8940e30b003ffff,1,0,0,0,3
0,8940e30b007ffff,1,0,0,1,3
0,8940e30b00bffff,1,0,0,1,3
0,8940e30b00fffff,2,1,1,1,3
0,8940e30b013ffff,0,0,0,0,2
0,8940e30b017ffff,3,4,1,2,6
0,8940e30b01bffff,4,2,0,3,10
0,8940e30b033ffff,2,4,1,4,9
0,8940e30b037ffff,0,1,1,2,2
0,8940e30b03bffff,6,0,0,1,7
0,8940e30b043ffff,0,0,0,1,2
0,8940e30b047ffff,0,0,0,0,1
0,8940e30b04bffff,3,1,1,2,8
0,8940e30b04fffff,0,0,1,0,3
0,8940e30b053ffff,1,1,0,1,3
0,8940e30b057ffff,0,0,0,1,2
0,8940e30b05bffff,2,1,0,2,9
0,8940e30b06bffff,0,1,0,1,1
0,8940e30b073ffff,0,1,0,1,2
0,8940e30b077ffff,0,0,0,0,0
0,8940e30b07bffff,2,1,0,3,4
0,8940e30b08fffff,0,0,0,0,0
0,8940e30b0a3ffff,2,3,1,7,17
0,8940e30b0a7ffff,6,2,2,7,36
0,8940e30b0abffff,3,2,0,5,13
0,8940e30b0afffff,3,4,1,6,21
0,8940e30b0b3ffff,2,2,0,3,7
0,8940e30b0b7ffff,2,2,1,1,5
0,8940e30b0bbffff,3,5,2,5,13
0,8940e30b0c3ffff,2,1,0,2,6
0,8940e30b0c7ffff,0,1,0,1,1
0,8940e30b0cbffff,1,2,1,2,7
0,8940e30b0cfffff,0,0,0,1,3
0,8940e30b0d3ffff,0,0,0,1,3
0,8940e30b0d7ffff,0,0,0,0,0
0,8940e30b0dbffff,1,1,0,1,2
0,8940e30b103ffff,1,1,1,1,3
0,8940e30b10bffff,0,0,0,0,1
0,8940e30b10fffff,0,0,0,0,0
0,8940e30b113ffff,2,0,0,2,2
0,8940e30b11bffff,0,0,0,2,3
0,8940e30b12bffff,0,0,0,1,1
0,8940e30b13bffff,0,0,0,1,1
0,8940e30b143ffff,0,0,0,1,1
0,8940e30b147ffff,0,0,0,1,2
0,8940e30b14fffff,0,0,0,0,0
0,8940e30b157ffff,1,1,0,2,3
0,8940e30b163ffff,0,0,0,0,0
0,8940e30b16bffff,0,0,0,0,1
0,8940e30b16fffff,0,0,0,0,0
0,8940e30b173ffff,0,0,0,0,0
0,8940e30b17bffff,1,1,1,3,7
0,8940e30b183ffff,0,0,0,1,2
0,8940e30b18bffff,1,0,0,2,2
0,8940e30b193ffff,0,1,1,4,10
0,8940e30b19bffff,1,1,0,2,6
0,8940e30b1c3ffff,1,3,1,2,5
0,8940e30b1c7ffff,0,0,0,1,1
0,8940e30b1cfffff,0,1,0,1,1
0,8940e30b1d3ffff,2,3,1,2,17
0,8940e30b1d7ffff,2,2,0,3,8
0,8940e30b1dbffff,1,2,0,2,5
0,8940e30b203ffff,0,0,0,0,0
0,8940e30b207ffff,3,2,0,3,10
0,8940e30b20fffff,0,0,0,0,1
0,8940e30b213ffff,1,1,0,2,7
0,8940e30b217ffff,1,2,0,5,20
0,8940e30b21bffff,0,1,1,1,1
0,8940e30b223ffff,0,0,0,0,0
0,8940e30b22bffff,1,2,1,6,13
0,8940e30b233ffff,0,2,0,1,3
0,8940e30b23bffff,0,1,0,2,5
0,8940e30b243ffff,3,2,0,1,11
0,8940e30b247ffff,1,1,0,1,4
0,8940e30b24bffff,6,4,1,2,10
0,8940e30b24fffff,7,5,0,2,18
0,8940e30b253ffff,2,3,1,2,9
0,8940e30b257ffff,2,1,0,2,2
0,8940e30b25bffff,4,4,0,3,30
0,8940e30b263ffff,4,2,0,6,12
0,8940e30b267ffff,5,4,1,6,21
0,8940e30b26fffff,0,0,0,0,0
0,8940e30b273ffff,0,0,0,1,4
0,8940e30b277ffff,3,4,0,7,17
0,8940e30b27bffff,2,1,0,2,5
0,8940e30b283ffff,1,1,1,2,9
0,8940e30b287ffff,2,1,0,2,10
0,8940e30b28bffff,2,1,1,4,6
0,8940e30b28fffff,3,4,0,6,19
0,8940e30b293ffff,7,3,1,6,16
0,8940e30b297ffff,2,2,0,2,18
0,8940e30b29bffff,1,1,0,1,2
0,8940e30b2a3ffff,3,4,1,6,23
0,8940e30b2a7ffff,3,4,1,8,24
0,8940e30b2abffff,3,5,1,4,22
0,8940e30b2afffff,1,1,1,1,4
0,8940e30b2b3ffff,2,3,0,2,13
0,8940e30b2b7ffff,3,2,0,3,12
0,8940e30b2bbffff,3,2,0,2,8
0,8940e30b2c3ffff,2,2,1,2,23
0,8940e30b2c7ffff,1,2,1,1,2
0,8940e30b2cbffff,10,6,1,3,18
0,8940e30b2cfffff,2,2,0,1,8
0,8940e30b2d3ffff,4,3,0,2,6
0,8940e30b2d7ffff,0,0,0,0,4
0,8940e30b2dbffff,5,5,1,6,22
0,8940e30b3a3ffff,0,0,0,0,1
0,8940e30b3a7ffff,0,0,0,0,1
0,8940e30b3b3ffff,0,0,0,0,0
0,8940e30b3b7ffff,2,2,1,3,8
0,8940e30b3d3ffff,0,0,0,0,1
0,8940e30b3dbffff,0,0,0,0,1
0,8940e30b403ffff,1,1,0,1,3
0,8940e30b40bffff,1,0,0,1,2
0,8940e30b40fffff,1,0,0,2,2
0,8940e30b413ffff,0,0,0,0,0
0,8940e30b41bffff,0,0,1,1,3
0,8940e30b443ffff,0,1,0,2,3
0,8940e30b447ffff,1,0,0,0,3
0,8940e30b44bffff,0,1,0,2,2
0,8940e30b44fffff,1,1,0,1,1
0,8940e30b453ffff,1,2,1,3,5
0,8940e30b45bffff,0,0,1,1,1
0,8940e30b463ffff,1,2,0,2,5
0,8940e30b46bffff,1,2,0,1,4
0,8940e30b46fffff,0,0,0,0,0
0,8940e30b473ffff,1,1,0,2,5
0,8940e30b477ffff,0,0,0,0,0
0,8940e30b47bffff,1,0,1,1,1
0,8940e30b4c7ffff,0,0,0,1,1
0,8940e30b4cfffff,0,0,0,0,1
0,8940e30b507ffff,1,1,0,3,6
0,8940e30b50fffff,0,0,0,0,0
0,8940e30b523ffff,0,0,0,1,1
0,8940e30b527ffff,0,0,0,0,0
0,8940e30b52bffff,1,2,0,1,2
0,8940e30b52fffff,0,1,0,2,6
0,8940e30b53bffff,0,0,0,0,0
0,8940e30b547ffff,0,0,0,0,0
0,8940e30b54fffff,0,0,0,1,2
0,8940e30b563ffff,6,4,2,3,9
0,8940e30b567ffff,4,3,2,4,21
0,8940e30b56bffff,2,2,1,4,11
0,8940e30b56fffff,5,3,0,3,9
0,8940e30b573ffff,1,2,0,2,8
0,8940e30b577ffff,2,3,1,5,14
0,8940e30b57bffff,3,2,0,3,6
0,8940e30b603ffff,6,6,1,4,28
0,8940e30b607ffff,2,4,0,2,13
0,8940e30b60bffff,7,6,0,3,22
0,8940e30b60fffff,4,4,0,4,26
0,8940e30b613ffff,3,2,1,3,11
0,8940e30b617ffff,0,1,0,1,4
0,8940e30b61bffff,3,3,0,2,15
0,8940e30b623ffff,3,3,2,3,17
0,8940e30b627ffff,1,3,1,7,15
0,8940e30b62bffff,5,5,1,4,22
0,8940e30b62fffff,2,2,0,2,10
0,8940e30b633ffff,3,1,2,6,29
0,8940e30b637ffff,4,7,2,10,22
0,8940e30b63bffff,2,2,1,5,13
0,8940e30b643ffff,5,9,1,4,18
0,8940e30b647ffff,3,4,1,3,6
0,8940e30b64bffff,4,2,0,3,8
0,8940e30b64fffff,5,4,1,3,13
0,8940e30b653ffff,5,4,1,1,7
0,8940e30b657ffff,5,5,1,3,22
0,8940e30b65bffff,4,2,1,2,6
0,8940e30b663ffff,4,6,1,5,12
0,8940e30b667ffff,5,7,1,8,30
0,8940e30b66bffff,7,7,1,3,7
0,8940e30b66fffff,5,7,1,4,21
0,8940e30b673ffff,3,6,0,5,23
0,8940e30b677ffff,4,3,0,3,8
0,8940e30b67bffff,5,4,0,8,13
0,8940e30b683ffff,0,0,0,0,1
0,8940e30b687ffff,0,0,0,0,1
0,8940e30b68bffff,3,2,0,3,7
0,8940e30b68fffff,0,0,0,1,5
0,8940e30b693ffff,1,1,0,2,9
0,8940e30b697ffff,2,1,0,2,3
0,8940e30b69bffff,1,0,0,0,1
0,8940e30b6a3ffff,0,0,0,1,1
0,8940e30b6a7ffff,0,1,1,1,2
0,8940e30b6abffff,2,2,2,11,150
0,8940e30b6afffff,0,0,0,3,19
0,8940e30b6b3ffff,0,0,1,2,4
0,8940e30b6b7ffff,2,1,0,2,7
0,8940e30b6bbffff,0,1,0,0,3
0,8940e30b6c3ffff,4,4,1,2,5
0,8940e30b6c7ffff,2,3,2,5,16
0,8940e30b6cbffff,9,6,1,1,3
0,8940e30b6cfffff,0,1,0,1,1
0,8940e30b6d3ffff,0,0,0,0,0
0,8940e30b6d7ffff,7,4,1,4,13
0,8940e30b6dbffff,0,1,0,1,2
0,8940e319203ffff,0,1,0,0,0
0,8940e31920bffff,1,2,0,2,10
0,8940e31920fffff,3,3,0,1,8
0,8940e31921bffff,2,2,0,1,9
0,8940e319243ffff,8,5,0,3,18
0,8940e319247ffff,5,4,1,3,17
0,8940e31924bffff,4,2,0,1,6
0,8940e31924fffff,5,3,0,3,14
0,8940e319253ffff,3,4,0,1,8
0,8940e319257ffff,2,2,1,3,10
0,8940e31925bffff,1,1,0,1,3
0,8940e319263ffff,13,12,0,4,15
0,8940e319267ffff,7,9,0,4,22
0,8940e31926bffff,5,4,0,6,15
0,8940e31926fffff,8,7,1,2,15
0,8940e319273ffff,8,10,0,1,15
0,8940e319277ffff,12,9,1,6,25
0,8940e31927bffff,2,3,0,3,6
0,8940e3192c3ffff,4,5,1,5,9
0,8940e3192c7ffff,2,4,0,3,4
0,8940e3192cbffff,3,2,0,1,5
0,8940e3192cfffff,4,5,0,1,10
0,8940e3192d3ffff,3,2,0,5,17
0,8940e3192d7ffff,2,1,0,2,7
0,8940e3192dbffff,3,1,0,1,11
0,8940e319607ffff,0,1,0,1,1
0,8940e31960bffff,1,1,0,3,5
0,8940e31960fffff,2,2,0,1,3
0,8940e31962bffff,4,4,0,2,2
0,8940e31963bffff,1,2,0,1,4
0,8940e319643ffff,2,4,1,2,10
0,8940e319647ffff,5,5,0,3,14
0,8940e31964bffff,5,6,1,2,10
0,8940e31964fffff,7,9,2,2,16
0,8940e319653ffff,3,1,0,2,8
0,8940e319657ffff,0,1,0,0,2
0,8940e31965bffff,4,2,1,2,6
0,8940e319663ffff,3,1,0,1,3
0,8940e319667ffff,1,2,1,0,1
0,8940e31966bffff,6,6,1,4,14
0,8940e31966fffff,4,2,0,3,12
0,8940e319673ffff,2,1,0,2,4
0,8940e319677ffff,0,0,0,0,0
0,8940e31967bffff,2,3,0,3,21
0,8940e3541a7ffff,3,1,0,2,5
0,8940e3541b3ffff,1,1,0,2,4
0,8940e3541b7ffff,0,0,0,0,1
0,8940e354517ffff,0,0,0,1,7
0,8940e354523ffff,0,0,0,1,2
0,8940e354527ffff,0,0,0,1,2
0,8940e354533ffff,0,1,0,2,3
0,8940e354537ffff,1,1,0,1,4
0,8940e354583ffff,0,0,0,0,0
0,8940e354587ffff,2,2,0,3,13
0,8940e35458bffff,0,0,0,0,0
0,8940e35458fffff,1,3,0,4,9
0,8940e3545a3ffff,6,6,1,5,23
0,8940e3545a7ffff,4,2,0,3,8
0,8940e3545abffff,1,1,0,4,10
0,8940e3545afffff,0,0,0,1,3
0,8940e3545b3ffff,5,5,1,5,42
0,8940e3545b7ffff,7,5,3,6,28
0,8940e3545bbffff,4,7,0,4,27
0,8940e354807ffff,1,1,0,3,8
0,8940e354813ffff,0,1,0,0,2
0,8940e354817ffff,1,3,1,4,14
0,8940e354833ffff,0,0,0,1,2
0,8940e35483bffff,0,0,0,0,0
0,8940e354883ffff,1,1,0,2,3
0,8940e354887ffff,0,1,0,0,1
0,8940e35488bffff,1,0,0,2,3
0,8940e35488fffff,0,0,0,0,1
0,8940e354893ffff,1,1,0,2,10
0,8940e354897ffff,0,0,0,1,2
0,8940e35489bffff,0,1,0,1,5
0,8940e3548a3ffff,2,4,1,7,22
0,8940e3548a7ffff,0,0,0,2,3
0,8940e3548abffff,1,1,0,3,5
0,8940e3548afffff,0,0,0,1,3
0,8940e3548b3ffff,0,0,1,0,1
0,8940e3548b7ffff,0,1,0,2,4
0,8940e3548bbffff,3,4,0,10,38
0,8940e3548d7ffff,0,1,0,1,3
0,8940e354903ffff,1,1,0,2,2
0,8940e354907ffff,2,5,2,9,23
0,8940e35490bffff,0,1,0,1,6
0,8940e35490fffff,1,0,0,3,3
0,8940e354913ffff,2,2,0,3,10
0,8940e354917ffff,4,6,1,5,27
0,8940e35491bffff,0,1,0,1,2
0,8940e354923ffff,3,3,0,3,22
0,8940e354927ffff,1,0,0,1,4
0,8940e35492bffff,2,5,0,7,38
0,8940e35492fffff,0,0,0,1,2
0,8940e354933ffff,6,5,1,4,22
0,8940e354937ffff,5,8,1,8,51
0,8940e35493bffff,5,6,1,8,33
0,8940e354967ffff,1,0,0,2,4
0,8940e354973ffff,0,0,0,1,2
0,8940e354977ffff,0,0,0,1,2
0,8940e354983ffff,1,3,1,3,12
0,8940e354987ffff,8,9,0,6,22
0,8940e35498bffff,1,2,0,2,7
0,8940e35498fffff,2,5,0,5,24
0,8940e354993ffff,2,4,1,4,11
0,8940e354997ffff,3,4,1,2,11
0,8940e35499bffff,1,3,0,4,11
0,8940e3549a3ffff,2,3,1,3,7
0,8940e3549a7ffff,1,0,0,0,1
0,8940e3549abffff,3,2,0,5,20
0,8940e3549afffff,1,2,0,2,8
0,8940e3549b3ffff,0,1,0,1,2
0,8940e3549b7ffff,0,0,0,0,3
0,8940e3549bbffff,5,5,1,6,24
