hour,rent,return,low_power_bike_count,soon_low_power_bike_count,normal_power_bike_count
0,0.0,0.0,0.0,0.0,1.0
1,0.0,0.0,0.0,0.0,1.0
2,0.0,0.0,0.0,0.0,1.0
3,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,0.0,0.0,1.0
5,0.0,0.0,0.0,0.0,2.0
6,0.0,0.0,0.0,0.0,2.0
7,1.0,1.0,0.0,0.0,2.0
8,1.0,1.0,0.0,0.0,2.0
9,0.0,1.0,0.0,0.0,2.0
10,0.0,0.0,0.0,0.0,2.0
11,1.0,0.0,0.0,0.0,2.0
12,1.0,1.0,0.0,0.0,2.0
13,1.0,1.0,0.0,0.0,2.0
14,1.0,1.0,0.0,0.0,2.0
15,1.0,1.0,0.0,0.0,2.0
16,1.0,1.0,0.0,0.0,2.0
17,2.0,1.0,0.0,0.0,2.0
18,2.0,1.0,0.0,0.0,2.0
19,1.0,1.0,0.0,0.0,2.0
20,1.0,1.0,0.0,0.0,2.0
21,0.0,1.0,0.0,0.0,2.0
22,0.0,0.0,0.0,0.0,2.0
23,0.0,0.0,0.0,0.0,1.0
