iter	RMSE
0	0.8323121225
1	0.8134982975
2	0.7954022466
3	0.7783969389
4	0.7611538771
5	0.7450862389
6	0.7295131199
7	0.7144070558
8	0.7001963967
9	0.6860731598
10	0.671858966
11	0.6589316721
12	0.6459627333
13	0.6333492853
14	0.6216606591
15	0.6102686756
16	0.5995243985
17	0.5890879108
18	0.579495525
19	0.5699191441
20	0.5603755727
21	0.5514786697
22	0.5430177024
23	0.534609238
24	0.5268158527
25	0.5190769866
26	0.5115726175
27	0.5043024121
28	0.4974308537
29	0.4912008806
30	0.4850335115
31	0.4790793236
32	0.4734396272
33	0.4680234604
34	0.4628302143
35	0.4576550564
36	0.453058471
37	0.4484676125
38	0.4442075278
39	0.4400181611
40	0.436418428
41	0.4327380175
42	0.4291852356
43	0.4256520374
44	0.4224116957
45	0.4192096067
46	0.4160388968
47	0.4131440839
48	0.4103582092
49	0.4077454821
50	0.4053811322
51	0.4029933129
52	0.4008435129
53	0.3986435397
54	0.3965471009
55	0.3948683005
56	0.3930973712
57	0.3913585105
58	0.3896964354
59	0.3882054559
60	0.3865434617
61	0.38492662
62	0.3836099992
63	0.3822132187
64	0.3809671722
65	0.3797853044
66	0.3785943062
67	0.3774485693
68	0.3764089539
69	0.3754973915
70	0.374574873
71	0.3736586933
72	0.3727266091
73	0.3719275994
74	0.3711204349
75	0.3702372105
76	0.3695001763
77	0.3687544897
78	0.3681062102
79	0.3675365279
80	0.3669679571
81	0.366398046
82	0.3658327318
83	0.3653101108
84	0.3647542382
85	0.3643179512
86	0.3638750817
87	0.3635046776
88	0.3631712913
89	0.362722121
90	0.3623543914
91	0.3620543378
92	0.3617156284
93	0.3613465156
94	0.3611294428
95	0.3608306542
96	0.3605693892
97	0.3602784161
98	0.3600259051
99	0.3597734713
100	0.359529476
101	0.3592134275
102	0.3590269842
103	0.3588439308
104	0.3586252582
105	0.3584301651
106	0.3582435271
107	0.3580634184
108	0.3577164727
109	0.3576072564
110	0.3574250662
111	0.357283283
112	0.3570891659
113	0.3569759214
114	0.3568622775
115	0.3567310178
116	0.3566111558
117	0.3564429259
118	0.3562248462
119	0.3561282944
120	0.3559837765
121	0.3558428985
122	0.3557781749
123	0.3556853736
124	0.3555649874
125	0.3555219848
126	0.3553422573
127	0.3552521662
128	0.3550557998
129	0.3549723741
130	0.354947033
131	0.3548204726
132	0.3546935336
133	0.354618381
134	0.3544995264
135	0.3543254601
136	0.3542803904
137	0.354199873
138	0.3540546973
139	0.3539555166
140	0.3538789785
141	0.3538322887
142	0.3538050977
143	0.3537577512
144	0.3536690469
145	0.353629805
146	0.3536154361
147	0.3535303649
148	0.3534766251
149	0.3533681387
150	0.3532927582
151	0.3532639924
152	0.3532517575
153	0.3532359585
154	0.3531397129
155	0.3531013413
156	0.3530817866
157	0.3530212142
158	0.3529911186
159	0.3529762481
160	0.3529498127
161	0.3529008056
162	0.3528333259
163	0.3528094639
164	0.3527935478
165	0.3527091652
166	0.3526184121
167	0.3525977379
168	0.3525708846
169	0.3525101702
170	0.3524631476
171	0.3524468803
172	0.3523867832
173	0.3523707398
174	0.3523416929
175	0.3522431562
176	0.3522364742
177	0.3522308209
178	0.3522086293
179	0.3521378539
180	0.3521323832
181	0.3521102287
182	0.3520777366
183	0.3520306778
184	0.3520251947
185	0.3518999791
186	0.3518940494
187	0.3518888568
188	0.3518681289
189	0.3518166508
190	0.3518010367
191	0.3517911691
192	0.351775619
193	0.3517415017
194	0.3517399509
195	0.3517267737
196	0.3517175982
197	0.351716134
198	0.3517142793
199	0.351689159
200	0.3516462248
201	0.3516183224
202	0.351565918
203	0.3515256166
204	0.3515196914
205	0.3514583939
206	0.3513825494
207	0.351373886
208	0.3513722033
209	0.3512626977
210	0.3512569093
211	0.3511927961
212	0.3511506702
213	0.3510117539
214	0.3510034944
215	0.3510026141
216	0.3509933979
217	0.3509415197
218	0.3509308888
219	0.3509288995
220	0.3509280625
221	0.3508855679
222	0.3508852635
223	0.3508540388
224	0.3508373707
225	0.3508214956
226	0.350803086
227	0.3507062707
228	0.3506927936
229	0.3506926848
230	0.3506922824
231	0.3506660881
232	0.3506612906
233	0.3506547634
234	0.3506408818
235	0.3506404032
236	0.3506365084
237	0.3506348329
238	0.3506277286
239	0.3506024217
240	0.3505899852
241	0.3505879178
242	0.3505841857
243	0.3505838484
244	0.3505819224
245	0.3505760901
246	0.350460273
247	0.3504580851
248	0.3504556905
249	0.3504482233
250	0.3504446965
251	0.3504411043
252	0.3504347254
253	0.3503508417
254	0.3503466824
255	0.3503461706
256	0.3503321135
257	0.3502830886
258	0.3502789612
259	0.3502179584
260	0.3502159107
261	0.3502115863
262	0.3501676866
263	0.3501656712
264	0.3501634706
265	0.3501240973
266	0.3501100749
267	0.3501064684
268	0.3500616728
269	0.350060169
