iter	Passed	Remaining
0	48	48652
1	90	45134
2	123	41077
3	158	39543
4	195	38875
5	220	36591
6	247	35166
7	277	34374
8	307	33854
9	344	34057
10	379	34083
11	410	33813
12	438	33296
13	470	33130
14	501	32956
15	534	32842
16	567	32835
17	599	32708
18	629	32504
19	655	32127
20	686	32013
21	714	31762
22	744	31639
23	773	31447
24	803	31321
25	829	31083
26	859	30972
27	889	30866
28	920	30811
29	953	30827
30	981	30666
31	1012	30618
32	1041	30509
33	1072	30464
34	1102	30394
35	1135	30393
36	1169	30441
37	1199	30356
38	1229	30290
39	1258	30205
40	1289	30159
41	1315	30004
42	1348	30006
43	1372	29827
44	1401	29737
45	1432	29703
46	1468	29770
47	1495	29651
48	1528	29667
49	1557	29600
50	1589	29576
51	1620	29541
52	1651	29509
53	1681	29459
54	1716	29499
55	1739	29318
56	1763	29178
57	1789	29070
58	1817	28986
59	1841	28856
60	1860	28633
61	1882	28480
62	1897	28221
63	1920	28087
64	1945	27983
65	1970	27884
66	1996	27801
67	2022	27721
68	2049	27647
69	2069	27494
70	2081	27232
71	2107	27166
72	2137	27142
73	2162	27055
74	2189	27007
75	2216	26947
76	2238	26828
77	2265	26784
78	2283	26625
79	2310	26572
80	2336	26505
81	2364	26474
82	2382	26326
83	2411	26295
84	2441	26281
85	2469	26244
86	2489	26126
87	2515	26068
88	2544	26041
89	2569	25976
90	2593	25910
91	2611	25771
92	2635	25698
93	2660	25642
94	2683	25559
95	2709	25511
96	2743	25535
97	2764	25444
98	2789	25389
99	2813	25319
100	2840	25285
101	2862	25201
102	2892	25193
103	2917	25137
104	2952	25163
105	2972	25071
106	2997	25019
107	3019	24940
108	3047	24909
109	3074	24874
110	3098	24819
111	3126	24787
112	3153	24752
113	3181	24724
114	3202	24641
115	3229	24607
116	3253	24555
117	3282	24534
118	3302	24450
119	3327	24401
120	3359	24404
121	3389	24395
122	3410	24315
123	3445	24339
124	3468	24276
125	3497	24258
126	3520	24198
127	3542	24131
128	3572	24122
129	3604	24125
130	3630	24086
131	3656	24045
132	3684	24018
133	3711	23987
134	3740	23965
135	3767	23933
136	3792	23888
137	3801	23748
138	3819	23658
139	3845	23620
140	3868	23565
141	3894	23529
142	3914	23460
143	3939	23416
144	3960	23353
145	3981	23290
146	4006	23249
147	4028	23189
148	4053	23151
149	4078	23108
150	4103	23073
151	4131	23048
152	4152	22990
153	4179	22961
154	4201	22903
155	4229	22880
156	4252	22835
157	4281	22815
158	4301	22749
159	4330	22737
160	4357	22706
161	4385	22684
162	4404	22618
163	4432	22592
164	4450	22523
165	4480	22509
166	4502	22460
167	4527	22422
168	4545	22350
169	4581	22370
170	4603	22317
171	4635	22314
172	4670	22326
173	4698	22302
174	4720	22254
175	4750	22240
176	4776	22207
177	4796	22149
178	4799	22013
179	4820	21957
