iter	Passed	Remaining
0	27	279172
1	65	326907
2	86	286683
3	124	311521
4	140	281454
5	179	298550
6	217	310915
7	230	288097
8	243	270364
9	272	272164
10	310	282287
11	349	290918
12	388	298188
13	426	304374
14	465	309800
15	503	314454
16	542	318560
17	581	322232
18	619	325438
19	657	328323
20	686	326302
21	725	329122
22	764	331776
23	781	324781
24	820	327464
25	859	329862
26	881	325520
27	920	327850
28	959	330002
29	981	326054
30	1020	328150
31	1059	330090
32	1076	325060
33	1115	326899
34	1126	320644
35	1147	317587
36	1186	319525
37	1225	321350
38	1255	320646
39	1295	322463
40	1308	317792
41	1347	319461
42	1368	316902
43	1407	318482
44	1447	320124
45	1476	319564
46	1515	320983
47	1555	322408
48	1594	323823
49	1611	320590
50	1650	321915
51	1689	323176
52	1698	318759
53	1737	320081
54	1776	321275
55	1806	320736
56	1819	317374
57	1840	315565
58	1880	316834
59	1919	318074
60	1959	319265
61	1999	320480
62	2029	320057
63	2068	321071
64	2079	317799
65	2118	318920
66	2157	319904
67	2197	320919
68	2237	322050
69	2277	323046
70	2298	321503
71	2338	322425
72	2377	323333
73	2417	324243
74	2456	325128
75	2496	326041
76	2508	323206
77	2548	324134
78	2587	324962
79	2617	324599
80	2639	323213
81	2656	321252
82	2694	321988
83	2724	321632
84	2754	321249
85	2770	319390
86	2809	320161
87	2848	320878
88	2878	320503
89	2889	318134
90	2929	319024
91	2969	319753
92	3008	320487
93	3047	321195
94	3064	319564
95	3094	319278
96	3116	318148
97	3129	316220
98	3168	316930
99	3190	315857
100	3219	315553
101	3258	316200
102	3298	316922
103	3337	317535
104	3349	315695
105	3388	316269
106	3427	316908
107	3467	317568
108	3483	316137
109	3523	316752
110	3562	317341
111	3601	317979
112	3640	318538
113	3661	317559
114	3691	317288
115	3730	317849
116	3758	317513
117	3788	317252
118	3827	317815
119	3866	318314
120	3905	318853
121	3921	317496
122	3931	315731
123	3944	314166
124	3960	312880
125	3999	313429
126	4012	311924
127	4028	310696
128	4042	309298
129	4050	307559
130	4063	306146
131	4080	305043
132	4120	305684
133	4141	304953
134	4154	303606
135	4193	304153
136	4232	304683
137	4241	303079
138	4261	302351
139	4301	302962
140	4340	303501
141	4379	304063
142	4418	304553
143	4456	305053
144	4485	304891
145	4494	303366
146	4507	302142
147	4546	302662
148	4562	301659
149	4575	300463
150	4584	299015
151	4622	299516
152	4643	298861
153	4656	297724
154	4665	296339
155	4694	296245
156	4723	296124
157	4744	295544
158	4760	294634
159	4773	293574
160	4802	293483
161	4818	292616
162	4834	291749
163	4873	292309
164	4913	292864
165	4952	293376
166	4991	293878
167	5030	294407
168	5059	294340
169	5098	294839
170	5111	293799
171	5150	294291
172	5159	293066
173	5172	292088
174	5211	292578
175	5240	292533
176	5269	292432
177	5298	292351
178	5308	291280
179	5338	291238
180	5349	290187
181	5362	289270
182	5375	288355
183	5388	287458
184	5417	287434
185	5456	287898
186	5467	286889
