run_timestamp,scale_tag,train_file,test_file,output_file,report_metric_space,use_log_target,split_mode,train_size,valid_size,train_time_range,valid_time_range,rent_best_iteration,rent_validation_rmse_objective,rent_final_validation_rmse,rent_training_seconds,rent_top_features,return_best_iteration,return_validation_rmse_objective,return_final_validation_rmse,return_training_seconds,return_top_features,cb_loss_function,cb_eval_metric,cb_learning_rate,cb_depth,cb_l2_leaf_reg,cb_random_seed,cb_task_type,cb_devices,cb_od_type,cb_od_wait,cb_iterations,cb_log_eval_period,train_valid_test_size,train_valid_random_state,categorical_features
20260413_044941,20000,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_test_dataset.csv,Training_Results_CatBoost/20260413_044941/prediction_CB_scale_20000_20260413_044941.csv,log,True,random,16000,4000,random_split,random_split,422,0.3607401677494893,0.3607401501259537,16.055,rent_mean_7d:64.448978; return_mean_7d:9.299882; hour:7.828746; day_of_week:3.284194; temperature:2.947957,475,0.35543537360478106,0.35543536381661384,15.871,return_mean_7d:64.445792; rent_mean_7d:10.868121; hour:7.182518; day_of_week:2.933652; temp_x_rain:2.898091,RMSE,RMSE,0.03,9,4.0,42,GPU,0:1,Iter,10,1000,5,0.2,42,h3
20260413_161737,20000,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/20260413_161737/prediction_CB_scale_20000_20260413_161737.csv,log,True,time,16000,4000,2025-09-10 00:00:00 -> 2025-09-11 00:00:00,2025-09-11 00:00:00 -> 2025-09-11 06:00:00,201,0.2667047568639708,0.27219274459361936,5.997,rent_mean_7d:60.054557; return_mean_7d:10.513181; hour:8.420878; h3:4.880700; lag_nb_rent:2.785254,169,0.27707235407932124,0.2810671660915929,4.987,return_mean_7d:57.776050; rent_mean_7d:14.397198; hour:7.654747; h3:4.782705; temp_x_rain:3.131390,RMSE,RMSE,0.03,9,4.0,42,CPU,0:1,Iter,10,1000,5,0.2,42,h3
20260413_162053,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/20260413_162053/prediction_CB_scale_all_20260413_162053.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,123,0.3906365465491432,0.3906365435890082,17.079,rent_mean_7d:48.847257; return_mean_7d:8.104943; normal_power_bike_count:7.615895; available_power_bike_gap:6.988903; hour:6.179446,130,0.40318912508119364,0.4031891221507173,17.071,return_mean_7d:56.394316; rent_mean_7d:8.953806; h3:7.314099; hour:6.074558; day_of_week:3.094855,RMSE,RMSE,0.03,9,4.0,42,CPU,0:1,Iter,10,1000,5,0.2,42,h3
20260414_043840,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/20260414_043840/prediction_CB_scale_all_20260414_043840.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,267,0.39027826550435984,0.39027826291907164,42.967,rent_mean_7d:49.590619; return_mean_7d:8.637660; normal_power_bike_count:8.312762; available_power_bike_gap:6.068609; hour:5.860611,230,0.4029231506452408,0.402923147819679,34.257,return_mean_7d:58.905456; rent_mean_7d:9.853736; h3:7.099426; hour:5.173785; day_of_week:3.098085,RMSE,RMSE,0.02,8,4.0,42,CPU,0:1,Iter,20,2000,5,0.2,42,h3
20260414_045553,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/20260414_045553/prediction_CB_scale_all_20260414_045553.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,267,0.39027826550435984,0.39027826291907164,41.8,rent_mean_7d:49.590619; return_mean_7d:8.637660; normal_power_bike_count:8.312762; available_power_bike_gap:6.068609; hour:5.860611,230,0.4029231506452408,0.402923147819679,22.974,return_mean_7d:58.905456; rent_mean_7d:9.853736; h3:7.099426; hour:5.173785; day_of_week:3.098085,RMSE,RMSE,0.02,8,4.0,42,CPU,0:1,Iter,20,2000,5,0.2,42,h3
auto_cb_20260414_163138_001,2000,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_163138_001/prediction_CB_scale_2000_auto_cb_20260414_163138_001.csv,log,True,time,1600,400,2025-09-10 00:00:00 -> 2025-09-10 02:00:00,2025-09-10 02:00:00 -> 2025-09-10 03:00:00,267,0.2851745643395825,0.2851745604615935,3.09,rent_mean_7d:32.626545; return_mean_7d:22.457409; lag_nb_return:10.467247; lag_nb_rent:8.870073; longitude:7.986563,205,0.2946660975221017,0.2946660949943085,2.782,return_mean_7d:38.965979; rent_mean_7d:20.032383; longitude:8.229083; lag_nb_rent:7.888660; latitude:6.703046,RMSE,RMSE,0.015,8,3.0,42,CPU,0:1,Iter,20,2000,5,0.2,42,h3
auto_cb_20260414_165308_001,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165308_001/prediction_CB_scale_all_auto_cb_20260414_165308_001.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,307,0.3902762676336902,0.3902762456725289,8.664,rent_mean_7d:51.086028; normal_power_bike_count:10.579913; return_mean_7d:8.718759; h3:4.778220; hour:4.669088,268,0.4037819858756346,0.4037819782684561,8.138,return_mean_7d:61.306192; rent_mean_7d:8.949127; h3:6.891711; hour:3.899646; normal_power_bike_count:3.515337,RMSE,RMSE,0.015,8,3.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165328_002,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165328_002/prediction_CB_scale_all_auto_cb_20260414_165328_002.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,304,0.3909744454068246,0.390974475465977,7.52,rent_mean_7d:51.172604; normal_power_bike_count:10.642847; return_mean_7d:8.833987; h3:4.680031; hour:4.613412,271,0.4041908714777913,0.40419083298881164,7.857,return_mean_7d:61.155415; rent_mean_7d:8.888314; h3:6.933624; hour:3.910949; day_of_week:3.466399,RMSE,RMSE,0.015,8,4.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165347_003,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165347_003/prediction_CB_scale_all_auto_cb_20260414_165347_003.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,307,0.39045953562270624,0.3904595001712648,7.456,rent_mean_7d:51.053060; normal_power_bike_count:10.742704; return_mean_7d:8.809611; h3:4.743945; hour:4.612769,268,0.4041336421365152,0.4041336173156091,8.377,return_mean_7d:61.281781; rent_mean_7d:8.884128; h3:6.825197; hour:3.905451; day_of_week:3.561364,RMSE,RMSE,0.015,8,5.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165405_004,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165405_004/prediction_CB_scale_all_auto_cb_20260414_165405_004.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,280,0.38999993919281095,0.3899998950804043,7.069,rent_mean_7d:47.151624; normal_power_bike_count:10.993016; return_mean_7d:8.483894; h3:5.297550; hour:5.235485,262,0.40369800894641217,0.4036980020030129,8.072,return_mean_7d:56.350100; h3:7.922513; rent_mean_7d:7.314070; hour:5.101586; day_of_week:4.538186,RMSE,RMSE,0.015,9,3.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165423_005,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165423_005/prediction_CB_scale_all_auto_cb_20260414_165423_005.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,270,0.3901276632511096,0.3901276979735839,7.737,rent_mean_7d:47.941929; normal_power_bike_count:10.579459; return_mean_7d:8.448016; h3:5.208335; hour:5.120998,250,0.4037744424791989,0.4037744142969924,8.27,return_mean_7d:57.187726; h3:7.908230; rent_mean_7d:7.270004; hour:4.976795; day_of_week:4.407994,RMSE,RMSE,0.015,9,4.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165442_006,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165442_006/prediction_CB_scale_all_auto_cb_20260414_165442_006.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,266,0.39018366681289857,0.39018374496582353,7.941,rent_mean_7d:47.907650; normal_power_bike_count:10.531372; return_mean_7d:8.385850; h3:5.176575; hour:5.155265,250,0.4040202209495369,0.40402015897855026,8.552,return_mean_7d:57.191303; h3:8.036321; rent_mean_7d:7.166424; hour:4.873148; day_of_week:4.327038,RMSE,RMSE,0.015,9,5.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165502_007,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165502_007/prediction_CB_scale_all_auto_cb_20260414_165502_007.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,252,0.3900871216255215,0.3900870831199754,9.116,rent_mean_7d:43.971094; normal_power_bike_count:10.314828; return_mean_7d:7.968157; hour:6.232721; h3:5.691828,242,0.40365689957254475,0.4036569157706184,9.717,return_mean_7d:53.465520; h3:8.476971; rent_mean_7d:6.551687; hour:5.872305; day_of_week:5.076483,RMSE,RMSE,0.015,10,3.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165523_008,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165523_008/prediction_CB_scale_all_auto_cb_20260414_165523_008.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,230,0.3902374637119887,0.39023748310286716,8.292,rent_mean_7d:45.511926; normal_power_bike_count:10.456524; return_mean_7d:8.123765; hour:5.780572; h3:5.586607,268,0.4036265209342623,0.40362652961176937,10.895,return_mean_7d:51.909542; h3:8.578406; rent_mean_7d:6.375350; hour:6.184060; day_of_week:5.258033,RMSE,RMSE,0.015,10,4.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165546_009,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165546_009/prediction_CB_scale_all_auto_cb_20260414_165546_009.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,234,0.39043787250422624,0.39043785722839636,9.047,rent_mean_7d:45.308377; normal_power_bike_count:10.528129; return_mean_7d:8.051756; hour:5.837069; h3:5.570454,244,0.4041951699851983,0.40419512205823366,9.433,return_mean_7d:53.594797; h3:8.524086; rent_mean_7d:6.665482; hour:5.716754; day_of_week:4.806011,RMSE,RMSE,0.015,10,5.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165607_010,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165607_010/prediction_CB_scale_all_auto_cb_20260414_165607_010.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,199,0.39147616733978546,0.39147618705095105,5.963,rent_mean_7d:52.446656; normal_power_bike_count:10.864217; return_mean_7d:9.035292; h3:4.428447; available_power_bike_gap:4.396239,216,0.4038753812821512,0.4038753805121326,7.298,return_mean_7d:59.624254; rent_mean_7d:8.856787; h3:7.225342; hour:4.078151; day_of_week:3.702754,RMSE,RMSE,0.02,8,3.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165623_011,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165623_011/prediction_CB_scale_all_auto_cb_20260414_165623_011.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,199,0.39094736083680687,0.39094731944919026,5.387,rent_mean_7d:52.297633; normal_power_bike_count:10.883335; return_mean_7d:8.970090; h3:4.541046; available_power_bike_gap:4.405733,188,0.40438146547374815,0.4043814234781001,7.048,return_mean_7d:61.771205; rent_mean_7d:9.144269; h3:7.006704; hour:3.731568; day_of_week:3.312938,RMSE,RMSE,0.02,8,4.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165638_012,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165638_012/prediction_CB_scale_all_auto_cb_20260414_165638_012.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,198,0.3911731423250297,0.3911731330760184,4.915,rent_mean_7d:52.605875; normal_power_bike_count:10.602229; return_mean_7d:8.933961; available_power_bike_gap:4.681970; h3:4.460249,188,0.4042131241618246,0.40421312302114404,7.205,return_mean_7d:61.890494; rent_mean_7d:9.133573; h3:7.050741; hour:3.773786; normal_power_bike_count:3.232451,RMSE,RMSE,0.02,8,5.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165653_013,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165653_013/prediction_CB_scale_all_auto_cb_20260414_165653_013.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,195,0.39076787128349627,0.3907678759331892,6.175,rent_mean_7d:48.388911; normal_power_bike_count:11.113057; return_mean_7d:8.463503; hour:5.105705; h3:4.991149,206,0.40371405481294004,0.4037140461089227,7.94,return_mean_7d:55.315046; h3:8.140465; rent_mean_7d:7.215776; hour:5.328777; day_of_week:4.373671,RMSE,RMSE,0.02,9,3.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165710_014,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165710_014/prediction_CB_scale_all_auto_cb_20260414_165710_014.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,195,0.38980262522771114,0.38980265139102654,6.203,rent_mean_7d:48.904934; normal_power_bike_count:11.472754; return_mean_7d:8.472472; h3:5.134647; hour:4.920503,176,0.40392914245351935,0.4039291374952125,6.981,return_mean_7d:58.587759; h3:7.932909; rent_mean_7d:7.603291; hour:4.679304; day_of_week:3.782104,RMSE,RMSE,0.02,9,4.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165726_015,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165726_015/prediction_CB_scale_all_auto_cb_20260414_165726_015.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,190,0.3906516676599671,0.3906516269101453,6.247,rent_mean_7d:48.956675; normal_power_bike_count:11.147363; return_mean_7d:8.705198; h3:4.914935; hour:4.783833,176,0.40382593309687975,0.40382594924287585,6.793,return_mean_7d:58.225048; h3:7.791262; rent_mean_7d:7.670561; hour:4.776350; day_of_week:4.016241,RMSE,RMSE,0.02,9,5.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
auto_cb_20260414_165742_016,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260414_165742_016/prediction_CB_scale_all_auto_cb_20260414_165742_016.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,205,0.3895286223102399,0.3895286328407865,8.968,rent_mean_7d:43.651982; normal_power_bike_count:10.852218; return_mean_7d:7.709809; hour:6.398566; h3:5.913125,193,0.4035043987662772,0.40350438207916234,8.362,return_mean_7d:52.641391; h3:8.373083; rent_mean_7d:6.617826; hour:5.811824; day_of_week:4.964312,RMSE,RMSE,0.02,10,3.0,42,GPU,0:1,Iter,25,3000,5,0.2,42,h3
