iter	RMSE
0	1.042053066
1	1.017647939
2	0.994056039
3	0.9713300285
4	0.9492574072
5	0.9282193994
6	0.9077558961
7	0.8884548098
8	0.869787269
9	0.850957903
10	0.8328636554
11	0.8157865765
12	0.799211262
13	0.7838668925
14	0.768323621
15	0.7536891337
16	0.73948093
17	0.7258579128
18	0.7127075238
19	0.7001931037
20	0.6878766788
21	0.6761081094
22	0.6648122052
23	0.6539398981
24	0.6438886077
25	0.6339812846
26	0.6245101374
27	0.6151802657
28	0.6062679694
29	0.5978083555
30	0.5895269737
31	0.5817308521
32	0.5742070764
33	0.5674598983
34	0.560731211
35	0.554093451
36	0.5484133712
37	0.5422598915
38	0.5366511998
39	0.5311395484
40	0.5257716477
41	0.520482064
42	0.516739378
43	0.5122181416
44	0.5077799904
45	0.5034402115
46	0.499540607
47	0.4957582123
48	0.4919716051
49	0.4882594397
50	0.4850229126
51	0.4822449713
52	0.4794757064
53	0.4763931153
54	0.4734616146
55	0.4707659525
56	0.4682088064
57	0.4658059213
58	0.4633821646
59	0.461494162
60	0.4593808447
61	0.4572054918
62	0.4555273588
63	0.4535238303
64	0.4517171258
65	0.4498986411
66	0.4482339209
