iter	Passed	Remaining
0	73	730326
1	139	698863
2	188	628264
3	248	621666
4	295	590142
5	332	554477
6	370	528879
7	413	516667
8	448	498097
9	485	485191
10	524	476268
11	562	467949
12	606	465570
13	646	461394
14	690	459428
15	736	459496
16	782	459241
17	819	454630
18	854	449062
19	895	446983
20	932	443016
21	976	442945
22	1011	438635
23	1053	437748
24	1093	436248
25	1134	435121
26	1170	432532
27	1214	432481
28	1255	431612
29	1294	430181
30	1331	428307
31	1371	427376
32	1404	424286
33	1440	422156
34	1475	420198
35	1517	419946
36	1556	419192
37	1599	419337
38	1635	417602
39	1673	416787
40	1704	414065
41	1736	411648
42	1770	409941
43	1802	407892
44	1833	405574
45	1863	403297
46	1897	401737
47	1938	401936
48	1970	400086
49	1998	397710
50	2028	395724
51	2057	393691
52	2102	394502
53	2129	392141
54	2166	391813
55	2200	390831
56	2227	388620
57	2256	386880
58	2297	387101
59	2328	385682
60	2359	384411
61	2387	382687
62	2416	381132
63	2443	379328
64	2475	378410
65	2508	377521
66	2545	377434
67	2573	375913
68	2608	375451
69	2634	373740
70	2655	371346
71	2690	371033
72	2729	371129
73	2766	371079
74	2799	370437
75	2833	370008
76	2862	368934
77	2899	368818
78	2923	367158
79	2950	365835
80	2977	364649
81	3008	363873
82	3040	363235
83	3071	362532
84	3100	361704
85	3126	360465
86	3159	359971
87	3189	359236
88	3219	358498
89	3241	356978
90	3276	356737
91	3306	356043
92	3341	355916
93	3372	355396
94	3411	355717
95	3443	355271
96	3467	354006
97	3496	353281
98	3522	352255
99	3551	351624
100	3583	351238
101	3618	351107
102	3651	350875
103	3690	351212
104	3717	350302
105	3752	350241
106	3780	349502
107	3813	349318
108	3845	348937
109	3885	349309
110	3915	348793
111	3940	347910
112	3966	347084
113	4002	347085
114	4030	346475
115	4064	346289
116	4093	345773
117	4128	345776
118	4169	346211
119	4200	345839
120	4227	345185
121	4262	345145
122	4295	344905
123	4320	344134
124	4355	344119
125	4394	344358
126	4438	345068
127	4461	344091
128	4490	343628
129	4529	343926
130	4565	343981
131	4594	343461
132	4622	342918
133	4650	342398
134	4681	342114
135	4709	341568
136	4746	341728
137	4789	342255
138	4818	341852
139	4849	341509
140	4885	341579
141	4917	341388
142	4945	340881
143	4971	340305
144	5002	339977
145	5044	340436
146	5076	340256
147	5103	339750
148	5133	339389
149	5169	339450
150	5196	338917
151	5224	338517
152	5253	338137
153	5300	338864
154	5325	338276
155	5351	337694
156	5377	337140
157	5406	336792
158	5444	336967
159	5473	336641
160	5504	336382
161	5535	336144
162	5566	335911
163	5595	335607
164	5633	335799
165	5662	335467
166	5703	335821
167	5737	335757
168	5765	335408
169	5789	334757
170	5817	334386
171	5850	334306
172	5881	334067
173	5915	334080
174	5951	334139
175	5981	333854
