iter	Passed	Remaining
0	78	782087
1	112	562828
2	155	517047
3	192	480908
4	229	458248
5	258	431061
6	294	419728
7	328	409812
8	361	401451
9	397	397177
10	427	388516
11	460	383254
12	494	380090
13	525	374866
14	554	368927
15	579	361660
16	608	357512
17	639	354739
18	671	352492
19	707	353000
20	733	348670
21	767	348180
22	798	346446
23	825	343016
24	859	343010
25	894	342990
26	929	343462
27	956	340591
28	983	338145
29	1011	336088
30	1041	334843
31	1072	334112
32	1097	331552
33	1128	330639
34	1155	329068
35	1190	329596
36	1221	328894
37	1254	328852
38	1285	328367
39	1316	327798
40	1352	328623
41	1385	328523
42	1412	327091
43	1442	326503
44	1482	327866
45	1510	326805
46	1541	326355
47	1567	325022
48	1596	324226
49	1625	323375
50	1657	323419
51	1686	322673
52	1714	321763
53	1747	321896
54	1771	320393
55	1800	319795
56	1830	319288
57	1854	317971
58	1886	317859
59	1921	318260
60	1945	316996
61	1967	315420
62	1989	313739
63	2009	311952
64	2037	311353
65	2063	310607
66	2087	309489
67	2117	309215
68	2146	308965
69	2166	307323
70	2188	305999
71	2214	305421
72	2243	305100
73	2267	304116
74	2289	302916
75	2318	302749
76	2343	302022
77	2369	301367
78	2394	300715
79	2415	299559
80	2434	298155
81	2463	297947
82	2491	297638
83	2519	297398
84	2543	296662
85	2564	295679
86	2590	295135
87	2612	294275
88	2638	293807
89	2664	293435
90	2699	293895
91	2718	292787
92	2745	292470
93	2771	292099
94	2798	291770
95	2817	290722
96	2837	289682
97	2864	289443
98	2896	289676
99	2920	289144
100	2944	288579
101	2967	288009
102	2991	287453
103	3023	287685
104	3056	288066
105	3084	287872
106	3110	287594
107	3139	287531
108	3170	287735
109	3192	287026
110	3217	286662
111	3238	285902
112	3259	285197
113	3279	284432
114	3308	284373
115	3340	284614
116	3365	284300
117	3390	283912
118	3412	283358
119	3435	282863
120	3468	283220
121	3499	283324
122	3527	283248
123	3555	283157
124	3580	282888
125	3604	282441
126	3626	281899
127	3659	282231
128	3695	282811
129	3736	283674
130	3773	284255
131	3803	284324
132	3828	284007
133	3851	283603
134	3871	282937
135	3900	282921
136	3927	282781
137	3953	282558
138	3979	282311
139	4004	282011
140	4033	282002
141	4067	282393
142	4083	281480
143	4107	281136
144	4135	281099
145	4169	281397
146	4195	281185
147	4221	281019
148	4248	280879
149	4274	280674
150	4300	280521
151	4317	279731
152	4343	279539
153	4373	279601
154	4403	279703
155	4426	279314
156	4458	279492
157	4481	279152
158	4507	278981
159	4540	279265
160	4569	279228
161	4596	279123
