iter	RMSE
0	0.8539022417
1	0.8351592509
2	0.817162507
3	0.7993123752
4	0.7820386312
5	0.7656118697
6	0.7494988827
7	0.7341147107
8	0.7191328126
9	0.7047617184
10	0.6915741524
11	0.678137192
12	0.6654498571
13	0.6531813113
14	0.641429706
15	0.6300312879
16	0.6193500094
17	0.6088601405
18	0.5988160071
19	0.5891922691
20	0.5802642277
21	0.5712171422
22	0.5626803631
23	0.5542966038
24	0.546318872
25	0.5386505879
26	0.5313462765
27	0.524412058
28	0.5175603825
29	0.511270946
30	0.5053597926
31	0.4995357407
32	0.4940333557
33	0.488521452
34	0.4833586518
35	0.4783801449
36	0.4736850542
37	0.4692051736
38	0.4649899383
39	0.4607661193
40	0.4569657833
41	0.4532780737
42	0.4493604251
43	0.4456571584
44	0.4419954444
45	0.4385976773
46	0.4354550808
47	0.4322937492
48	0.4292670986
49	0.4264527049
50	0.4238080107
51	0.4212507844
52	0.4187814436
53	0.4164452499
54	0.4142147004
55	0.4120306308
56	0.4100778801
57	0.4081563065
58	0.406296816
59	0.4046628987
60	0.403100021
61	0.4015705314
62	0.4001256389
63	0.3987926163
64	0.3973861985
65	0.3961476204
66	0.3948177153
67	0.3935553627
68	0.3923466727
69	0.391262136
70	0.3901969303
71	0.3892766027
72	0.3883849546
73	0.3874890454
74	0.386645854
75	0.3857906344
76	0.3849833084
77	0.3841868591
78	0.3834419057
79	0.3827278832
80	0.3821286861
81	0.3815096463
82	0.3809806381
83	0.3804616913
84	0.3798791085
85	0.3793889527
86	0.3789244325
87	0.3785092197
88	0.3781160995
89	0.3777515919
90	0.3773695352
91	0.3769792325
92	0.376510756
93	0.3761205502
94	0.3757694027
95	0.375421303
96	0.375029007
97	0.3747356009
98	0.3744253606
99	0.3740517203
100	0.3737883711
101	0.3734979695
102	0.3732731077
103	0.3729694649
104	0.3727273501
105	0.3724608354
106	0.37222439
107	0.3720172004
108	0.3718250956
109	0.371594424
110	0.371373303
111	0.3712139817
112	0.3710496599
113	0.3708969891
114	0.3707026565
115	0.3705122563
116	0.3703757256
117	0.370216715
118	0.3700586712
119	0.3698670522
120	0.3697544485
121	0.3696229692
122	0.3694599161
123	0.3693495123
124	0.3691962266
125	0.3690969445
126	0.3689873781
127	0.3688906711
128	0.3687508912
129	0.3685878184
130	0.3684935555
131	0.3683813218
132	0.3682118915
133	0.3681520937
134	0.3680309577
135	0.3679354615
136	0.3678390356
137	0.3677299622
138	0.3676306604
139	0.3675220983
140	0.3674452534
141	0.3673439894
142	0.3672377378
143	0.3671728545
144	0.3670936496
145	0.3670126463
146	0.3669355839
147	0.3668436388
148	0.3667786581
149	0.3666845452
150	0.3666095722
151	0.3664807638
152	0.3663845725
153	0.3663201869
154	0.3662282428
155	0.3661769192
156	0.3661124124
157	0.366026145
158	0.3659557919
159	0.365905199
160	0.3658104857
161	0.3657013623
162	0.365580845
163	0.3655533293
164	0.3654990843
165	0.3654456175
166	0.3653822886
167	0.3653093041
168	0.3652239154
169	0.3651585732
170	0.3651101319
171	0.3650244736
172	0.3649457598
173	0.3649005992
174	0.3648569767
175	0.3647662453
176	0.3646898204
177	0.3645980745
178	0.3645177749
179	0.3644391763
180	0.3643225783
181	0.3642552514
182	0.3641876708
183	0.3641499045
184	0.3641088023
185	0.3640679246
186	0.3639992629
187	0.3639519188
188	0.3638916408
189	0.3638364201
190	0.3638119687
191	0.3637540601
192	0.363700178
193	0.3636007641
194	0.3635131416
195	0.3634455535
196	0.3633643285
197	0.3633277128
198	0.3633254842
199	0.3632746002
200	0.3632029669
201	0.3631112136
202	0.3630527682
203	0.3629580456
204	0.3629219225
205	0.3628482889
206	0.3627966697
207	0.3627566477
208	0.3626677843
209	0.3626169212
210	0.3625804296
211	0.362524671
212	0.3624248544
213	0.362393497
214	0.3623529685
215	0.3622612233
216	0.3622108768
217	0.3621569068
218	0.3620615019
219	0.3620089459
220	0.36190727
221	0.3618855996
222	0.3618412106
223	0.3617954981
224	0.3617403463
225	0.3617112209
226	0.3616647604
227	0.3615833617
228	0.3615349982
229	0.3614911836
230	0.3614682855
231	0.3614403536
232	0.3613746885
233	0.3613519762
234	0.3612270457
235	0.3611701599
236	0.3610671696
237	0.3609904433
238	0.3609230467
239	0.3608691637
240	0.3607946497
241	0.3607413148
242	0.3607170158
243	0.360677965
244	0.3605904259
245	0.3605291382
246	0.3604892495
247	0.3604230147
248	0.3603749319
249	0.3603242057
250	0.3602939647
251	0.3602265382
252	0.3601832559
253	0.3601389347
254	0.3601236058
255	0.3600852711
256	0.3600187451
