iter	Passed	Remaining
0	41	415833
1	74	372049
2	116	389080
3	149	373518
4	183	367551
5	213	356435
6	246	351738
7	282	352653
8	313	347962
9	349	349620
10	384	349216
11	416	346272
12	448	344721
13	482	344020
14	513	342096
15	544	339875
16	580	340777
17	610	338805
18	642	337454
19	673	335877
20	702	333845
21	740	335719
22	768	333504
23	801	333172
24	831	331961
25	862	330987
26	891	329134
27	917	326852
28	942	324139
29	965	320955
30	996	320419
31	1029	320737
32	1058	319657
33	1091	319808
34	1120	319035
35	1151	318697
36	1185	319244
37	1211	317574
38	1239	316538
39	1269	315992
40	1300	315942
41	1334	316473
42	1356	314198
43	1387	313903
44	1424	315129
45	1455	314866
46	1488	315173
47	1515	314237
48	1545	313800
49	1575	313597
50	1606	313325
51	1643	314341
52	1671	313649
53	1704	313968
54	1734	313687
55	1764	313344
56	1792	312655
57	1817	311585
58	1846	311194
59	1883	312078
60	1910	311295
61	1944	311618
62	1965	310087
63	1995	309811
64	2026	309720
65	2055	309327
66	2083	308936
67	2110	308288
68	2142	308422
69	2177	308884
70	2208	308804
71	2235	308223
72	2263	307824
73	2289	307125
74	2318	306822
75	2343	305974
76	2377	306389
77	2404	305825
78	2428	304918
79	2453	304256
80	2479	303604
81	2500	302410
82	2523	301530
83	2546	300625
84	2573	300162
85	2599	299660
86	2617	298247
87	2641	297478
88	2663	296610
89	2683	295469
90	2713	295434
91	2730	294080
92	2754	293436
93	2775	292467
94	2800	291997
95	2825	291463
96	2855	291546
97	2876	290614
98	2899	289932
99	2927	289815
100	2955	289620
101	2985	289695
102	3013	289516
103	3032	288592
104	3062	288613
105	3083	287842
106	3105	287110
107	3125	286263
108	3151	285944
109	3173	285360
110	3191	284360
111	3219	284203
112	3240	283572
113	3264	283101
114	3288	282667
115	3312	282277
116	3340	282140
117	3356	281106
118	3379	280624
119	3405	280355
120	3437	280654
121	3463	280424
122	3485	279920
123	3511	279658
124	3538	279525
125	3559	278943
126	3586	278797
127	3610	278461
128	3641	278680
129	3667	278444
130	3687	277788
131	3711	277440
132	3733	276949
133	3757	276653
134	3782	276424
135	3808	276224
136	3834	276022
137	3853	275400
