iter	RMSE
0	0.854558388
1	0.8356360698
2	0.817407095
3	0.7994763784
4	0.7822131386
5	0.7657642458
6	0.7499781205
7	0.7345071493
8	0.7199249646
9	0.7058018564
10	0.6923157104
11	0.6790656706
12	0.6663939403
13	0.654154292
14	0.6423227996
15	0.6310854277
16	0.6204510584
17	0.6102550452
18	0.5999524372
19	0.5904544399
20	0.5813189163
21	0.5723226712
22	0.5638446788
23	0.5553838831
24	0.5474034109
25	0.5398219492
26	0.5326549515
27	0.5255970707
28	0.51876085
29	0.5125122633
30	0.5064496751
31	0.5003865394
32	0.4947820882
33	0.4894331842
34	0.4845199069
35	0.4796615169
36	0.4749370173
37	0.470103297
38	0.4655611503
39	0.46115325
40	0.4569536276
41	0.4529310172
42	0.4491475079
43	0.4454778915
44	0.4420676626
45	0.4386198104
46	0.4354454766
47	0.4323878231
48	0.4295622946
49	0.4268035245
50	0.4241031706
51	0.42157208
52	0.4191163515
53	0.416949837
54	0.4146268059
55	0.41247402
56	0.4105474795
57	0.4087597001
58	0.406952322
59	0.4053011328
60	0.4036080549
61	0.4020654212
62	0.4005216914
63	0.3991190754
64	0.3976611085
65	0.3963637344
66	0.3951143288
67	0.3940611395
68	0.3929615174
69	0.3918913876
70	0.3909126133
71	0.3899778815
72	0.3889892052
73	0.3880978621
74	0.3873009559
75	0.3863996771
76	0.3856351357
77	0.3848353206
78	0.3841601887
79	0.3834669216
80	0.3828359218
81	0.3821932311
82	0.3816118193
83	0.3810644371
84	0.3805195448
85	0.3800540084
86	0.3795384334
87	0.3790825316
88	0.3786024879
89	0.3782026099
90	0.3777633564
91	0.3773083903
92	0.3768949722
93	0.3764703932
94	0.3759692153
95	0.3755983384
96	0.3752427681
97	0.3749158835
98	0.3745862563
99	0.3742655969
100	0.3739329493
101	0.3736460687
102	0.3733055835
103	0.3730251921
104	0.3727881968
105	0.3725040052
106	0.3722917817
107	0.3720532871
108	0.3717472001
109	0.3714943986
110	0.3712841377
111	0.3711028841
112	0.3708972343
113	0.3706856938
114	0.3705121072
115	0.3703560293
116	0.3702033683
117	0.3699827734
118	0.3698008503
119	0.3696302619
120	0.3694550651
121	0.3692602568
122	0.3690634048
123	0.3689100252
124	0.3687069103
125	0.3685618342
126	0.3683500159
127	0.3682103007
128	0.3681125473
129	0.3679332809
130	0.367774196
131	0.3676851665
132	0.3675489644
133	0.3674791303
134	0.3673724876
135	0.367287378
136	0.3671013894
137	0.3669222004
138	0.3667676024
139	0.3666682526
140	0.3665109068
141	0.3663841907
142	0.3663007955
143	0.3661888679
144	0.3661218515
145	0.3659909095
146	0.3658580048
147	0.3657668532
148	0.3656959529
149	0.3656072687
150	0.3655492253
151	0.365438832
152	0.3653509304
153	0.3652765395
154	0.3651855171
155	0.3651007305
156	0.3650160688
157	0.3649149881
158	0.3648012692
159	0.3647461268
160	0.364669164
161	0.3645801765
162	0.3645020633
163	0.364406821
164	0.3643175801
165	0.3642411942
166	0.3641387062
167	0.3640629544
168	0.3639819668
169	0.3639090587
170	0.3638393609
171	0.3637832555
172	0.3637181733
173	0.3636268964
