iter	Passed	Remaining
0	82	824193
1	140	702052
2	201	671791
3	257	644684
4	309	617834
5	348	581175
6	387	552714
7	426	532697
8	468	519819
9	507	507325
10	551	500392
11	589	490983
12	637	489548
13	674	481245
14	716	476969
15	755	471132
16	799	469323
17	841	466634
18	886	465897
19	922	460079
20	961	456964
21	1004	455506
22	1036	449662
23	1068	444121
24	1103	440224
25	1142	438116
26	1178	435219
27	1216	433415
28	1257	432191
29	1303	433103
30	1337	430040
31	1376	428872
32	1414	427091
33	1454	426361
34	1496	426185
35	1539	425978
36	1592	428821
37	1631	427603
38	1665	425488
39	1707	425148
40	1745	423899
41	1780	422230
42	1815	420392
43	1848	418220
44	1874	414743
45	1905	412407
46	1938	410457
47	1982	411041
48	2019	410095
49	2048	407634
50	2076	405134
51	2112	404187
52	2145	402584
53	2176	400943
54	2211	399930
55	2246	398978
56	2287	399102
57	2318	397426
58	2346	395308
59	2375	393566
60	2403	391549
61	2426	388927
62	2461	388225
63	2489	386523
64	2526	386193
65	2554	384435
66	2587	383663
67	2624	383315
68	2650	381549
69	2682	380602
70	2714	379572
71	2743	378268
72	2776	377499
73	2806	376412
74	2833	374917
75	2866	374338
76	2900	373750
77	2928	372529
78	2961	371871
79	2994	371266
80	3020	369940
81	3049	368882
82	3079	367895
83	3110	367128
84	3140	366362
85	3169	365380
86	3201	364735
87	3227	363524
88	3255	362480
89	3288	362091
90	3321	361668
91	3347	360486
92	3380	360163
93	3413	359773
94	3444	359109
95	3471	358152
96	3504	357759
97	3531	356862
98	3566	356668
99	3597	356163
100	3623	355173
101	3650	354248
102	3679	353600
103	3710	353046
104	3742	352665
105	3773	352248
106	3818	353048
107	3845	352220
108	3868	351043
109	3899	350575
110	3926	349830
111	3952	348975
112	3985	348729
113	4013	348024
114	4042	347493
115	4075	347267
116	4101	346493
117	4133	346136
118	4162	345588
119	4194	345309
120	4224	344905
121	4247	343911
122	4280	343742
123	4312	343445
124	4343	343164
125	4374	342821
126	4405	342449
127	4435	342102
128	4467	341848
129	4505	342080
130	4542	342248
131	4574	341955
132	4604	341567
133	4631	341003
134	4671	341342
135	4693	340429
136	4725	340183
