iter	Passed	Remaining
0	42	420909
1	80	401220
2	111	370291
3	142	356316
4	171	342422
5	200	333237
6	230	329618
7	262	328301
8	292	324822
9	324	323937
10	354	321811
11	371	309455
12	399	307182
13	426	304251
14	457	304366
15	484	302024
16	508	298642
17	543	301157
18	571	300181
19	607	302922
20	643	305559
21	677	307100
22	704	305627
23	735	305802
24	762	304190
25	793	304565
26	825	304866
27	854	304365
28	880	302890
29	907	301443
30	921	296226
31	952	296830
32	982	296877
33	1013	297207
34	1047	298308
35	1084	300229
36	1116	300677
37	1150	301511
38	1182	301982
39	1215	302637
40	1246	302757
41	1273	301936
42	1300	301144
43	1333	301789
44	1359	300784
45	1387	300238
46	1415	299794
47	1445	299628
48	1472	298989
49	1500	298549
50	1527	297994
51	1561	298688
52	1591	298704
53	1621	298613
54	1650	298438
55	1679	298195
56	1703	297223
57	1728	296287
58	1755	295865
59	1788	296283
60	1815	295745
61	1842	295381
62	1867	294599
63	1895	294267
64	1928	294694
65	1961	295238
66	1989	295012
67	2018	294860
68	2045	294403
69	2077	294726
70	2108	294828
71	2133	294234
72	2158	293562
73	2180	292459
74	2204	291676
75	2230	291273
76	2253	290451
77	2290	291358
78	2313	290558
79	2341	290321
80	2363	289407
81	2385	288589
82	2408	287795
83	2429	286756
84	2450	285794
85	2477	285579
86	2504	285358
87	2532	285303
88	2563	285438
89	2582	284402
90	2607	283918
91	2629	283214
92	2652	282580
93	2674	281803
94	2699	281484
95	2725	281133
96	2736	279409
97	2763	279248
98	2788	278909
99	2817	278948
100	2839	278346
101	2861	277684
102	2881	276906
103	2898	275836
104	2924	275599
105	2949	275319
106	2985	275990
107	3003	275069
108	3028	274835
109	3053	274503
110	3077	274180
111	3093	273090
112	3119	272946
113	3145	272760
114	3167	272241
115	3195	272317
116	3225	272481
117	3247	271961
118	3269	271477
119	3293	271200
120	3319	270995
121	3344	270773
122	3367	270393
123	3398	270678
124	3420	270193
125	3443	269845
126	3463	269252
127	3488	269081
128	3517	269153
129	3541	268904
130	3563	268433
131	3586	268124
132	3608	267717
133	3633	267502
134	3651	266833
135	3681	267039
136	3707	266903
137	3733	266837
138	3757	266587
139	3779	266219
140	3806	266138
141	3825	265599
142	3852	265553
143	3871	265007
144	3889	264376
145	3910	263949
146	3933	263626
147	3955	263329
148	3978	263063
149	3999	262626
150	4026	262627
151	4042	261929
152	4064	261563
153	4089	261489
154	4114	261348
155	4139	261203
156	4168	261362
157	4195	261355
158	4217	261052
159	4244	261010
160	4265	260659
161	4298	261014
162	4318	260614
163	4351	260957
164	4382	261208
165	4403	260887
166	4434	261077
167	4457	260869
168	4476	260397
169	4499	260176
170	4522	259945
171	4552	260121
172	4584	260389
173	4606	260162
174	4634	260206
175	4661	260195
176	4688	260222
177	4717	260317
178	4740	260107
179	4772	260377
180	4807	260826
181	4833	260768
182	4861	260818
183	4883	260515
184	4912	260609
185	4939	260648
186	4959	260230
187	4978	259845
188	5000	259554
189	5025	259469
190	5042	258961
191	5076	259300
192	5094	258868
193	5118	258701
194	5143	258629
195	5170	258650
196	5191	258344
197	5216	258227
198	5238	258020
199	5262	257882
200	5273	257068
201	5304	257273
202	5328	257139
203	5352	257016
204	5378	256988
205	5406	257043
206	5438	257293
207	5471	257580
208	5491	257266
209	5519	257295
210	5538	256966
211	5560	256748
212	5593	257012
213	5619	256983
214	5653	257302
215	5686	257592
216	5708	257376
217	5734	257326
