iter	RMSE
0	1.044450513
1	1.021067545
2	1.000129813
3	0.9784734624
4	0.9573271686
5	0.9368361168
6	0.916200376
7	0.8968604094
8	0.8794201383
9	0.86120967
10	0.8443504625
11	0.8285305003
12	0.8125701896
13	0.7975107822
14	0.7823339202
15	0.7674625592
16	0.7534670661
17	0.7403249228
18	0.7274125132
19	0.7149047875
20	0.7031324137
21	0.691609606
22	0.680401054
23	0.6691892131
24	0.6593272421
25	0.6492678426
26	0.6405759823
27	0.6311293787
28	0.6222564016
29	0.6140988984
30	0.6058912184
31	0.5974742618
32	0.5896114399
33	0.5823585242
34	0.5754749979
35	0.5685252021
36	0.5617370993
37	0.5554327736
38	0.5494789746
39	0.5436413774
40	0.5381339635
41	0.5330219713
42	0.5275789454
43	0.5227412693
44	0.5180477969
45	0.5135908254
46	0.5093530543
47	0.5049123614
48	0.5010181768
49	0.4970011443
50	0.4935729452
51	0.4901654687
52	0.4867934094
53	0.4835388847
54	0.4804872755
55	0.4774293605
56	0.4748239668
57	0.4719302901
58	0.4693517462
59	0.4669221699
60	0.4645377413
61	0.4623006375
62	0.4600667559
63	0.4579437999
64	0.4557319774
65	0.4539411542
66	0.4521564388
67	0.4504585789
68	0.4487001047
69	0.4470849086
70	0.4455425252
71	0.4440207031
72	0.4426046772
73	0.4410525
74	0.4398333927
75	0.43844591
76	0.4372689975
77	0.4359597662
78	0.4350498361
79	0.4339502943
80	0.4330340277
81	0.4319141112
82	0.4310320528
83	0.4298566901
84	0.4289336562
85	0.4281815499
86	0.4273747566
87	0.4265282947
88	0.4256843988
89	0.425016031
90	0.4244634411
91	0.4237924714
92	0.4230423098
93	0.4222496171
94	0.4215704414
95	0.4208855381
96	0.420127158
97	0.4193234192
98	0.4186141609
99	0.4179973472
100	0.4173590577
101	0.4168550163
102	0.4162055092
103	0.4155531246
104	0.4150630299
105	0.4144443474
106	0.4138648767
107	0.4135485168
108	0.4130188236
109	0.4122502669
110	0.411678419
111	0.4112798267
112	0.4109093035
113	0.4105157397
114	0.410201045
115	0.4096931345
116	0.4091394226
117	0.4086641501
118	0.4082127967
119	0.4079953981
120	0.4077301374
121	0.4073771329
122	0.4070384465
123	0.4066604655
124	0.4062859008
125	0.4060474409
126	0.4058885557
127	0.4055166521
128	0.4052156458
129	0.4051089604
130	0.4048271464
131	0.4045947936
132	0.404366684
133	0.4040267698
134	0.4035980804
135	0.4033373253
136	0.4029201579
137	0.4025279129
138	0.4022432025
139	0.401884892
140	0.4015954333
141	0.4012428361
142	0.4009945204
143	0.4004177068
144	0.4001781642
145	0.4001167287
146	0.3998592227
147	0.3995357165
148	0.3992096613
149	0.3988620569
150	0.3985982851
151	0.3984111292
152	0.3981593294
153	0.3979398804
154	0.397544782
155	0.3970620423
156	0.3969886501
157	0.3966851002
158	0.3962284144
159	0.3959509263
160	0.3956882196
161	0.3953500758
162	0.395143615
163	0.3949380142
164	0.3946899969
165	0.3943213876
166	0.3942674316
167	0.394083784
168	0.3939133064
169	0.3934263736
170	0.3931443732
171	0.3928617639
172	0.3927948493
173	0.3927366059
174	0.3927036907
175	0.3923858252
176	0.392135881
177	0.3920119205
178	0.3919970334
179	0.3917802633
180	0.3914656708
181	0.3913450845
182	0.3911043361
183	0.3908426997
184	0.3905016151
185	0.3901746147
186	0.3898711726
187	0.3898358118
188	0.389777835
189	0.3895173975
190	0.3891713639
191	0.3888723114
192	0.388614646
193	0.388592398
194	0.3884015191
195	0.3882112375
196	0.3880031399
197	0.3877659323
198	0.3873984449
199	0.3871174717
200	0.3871024424
201	0.3869135732
202	0.3866248625
203	0.386315937
204	0.3860007693
205	0.3859547111
206	0.3859323508
207	0.3859129833
208	0.3857927945
209	0.3855080602
210	0.3852015109
211	0.3851583079
212	0.3849691634
213	0.3847041331
214	0.3844692186
215	0.3841958852
216	0.3837116908
217	0.3833539534
218	0.383183079
219	0.3829591909
220	0.3827016113
221	0.3824576256
222	0.3822231199
223	0.3819147803
224	0.3815263249
225	0.3811008964
226	0.381089255
227	0.3807143686
228	0.3805266279
229	0.3803230504
230	0.3801730561
231	0.3801575914
232	0.3801501501
233	0.3800596582
234	0.3798463862
235	0.3796405327
236	0.3793568614
237	0.379330747
238	0.3789984911
239	0.3788174666
240	0.3783850731
241	0.3781028666
242	0.377811154
243	0.3775276491
244	0.3773151208
245	0.3771944128
246	0.3769026401
247	0.3767312991
248	0.3762321619
249	0.3760636197
250	0.3757703921
251	0.3755414146
252	0.375335035
253	0.3753350322
254	0.3751049221
255	0.374956631
256	0.3746519693
257	0.3744672462
258	0.374302469
259	0.3740818087
260	0.3739168901
261	0.3736108755
262	0.3732924526
263	0.3730865981
264	0.3728928039
265	0.3727703627
266	0.3725556083
267	0.3722656621
268	0.3720541505
269	0.3716955812
