iter	Passed	Remaining
0	59	595161
1	85	428015
2	102	341752
3	126	316139
4	144	288864
5	163	271570
6	175	251036
7	195	244347
8	216	240123
9	230	229960
10	249	226830
11	265	220636
12	283	217579
13	301	215112
14	320	213178
15	337	210719
16	359	210902
17	381	211414
18	401	211105
19	419	209274
20	441	209560
21	455	206768
22	475	206159
23	493	205072
24	513	204845
25	534	204968
26	554	204994
27	567	202262
28	589	202556
29	613	203792
30	623	200605
31	642	200000
32	661	199869
33	682	200170
34	691	197003
35	711	196937
36	724	194992
37	741	194358
38	763	195004
39	771	192152
40	794	192987
41	811	192431
42	831	192549
43	853	193058
44	871	192875
45	892	193212
46	911	192945
47	930	192951
48	944	191911
49	963	191816
50	986	192406
51	1008	192877
52	1029	193278
53	1051	193586
54	1068	193148
55	1086	192867
56	1102	192263
57	1125	192961
58	1144	192890
59	1163	192692
60	1186	193303
61	1209	193802
62	1228	193698
63	1247	193685
64	1267	193702
65	1287	193721
66	1307	193835
67	1322	193121
68	1339	192727
69	1361	193083
70	1378	192811
71	1401	193232
72	1420	193198
73	1442	193524
74	1465	193932
75	1490	194636
76	1511	194829
77	1532	194977
78	1544	193998
79	1567	194414
80	1589	194589
81	1608	194526
82	1627	194419
83	1645	194233
84	1667	194461
85	1680	193675
86	1703	194045
87	1725	194361
88	1748	194714
89	1767	194611
90	1773	193146
91	1793	193144
92	1810	192844
93	1825	192409
94	1841	192034
95	1855	191462
96	1870	190967
97	1885	190489
98	1901	190131
99	1918	189933
100	1933	189541
101	1948	189082
102	1965	188840
103	1980	188474
104	1995	188098
105	2011	187750
106	2031	187811
107	2040	186910
108	2057	186721
109	2071	186263
110	2091	186315
111	2110	186339
112	2123	185777
113	2138	185465
114	2150	184889
115	2171	184991
116	2188	184890
117	2209	185065
118	2226	184847
119	2242	184640
120	2256	184267
121	2277	184381
122	2297	184501
123	2314	184306
124	2331	184178
125	2344	183702
126	2349	182616
127	2367	182602
128	2384	182458
129	2395	181870
130	2412	181774
131	2433	181895
132	2443	181284
133	2462	181316
134	2477	181033
135	2490	180628
136	2508	180616
137	2522	180238
138	2538	180082
139	2554	179915
140	2572	179855
141	2591	179928
142	2613	180145
143	2632	180165
144	2648	180003
145	2655	179230
146	2670	179004
147	2688	178989
148	2703	178730
149	2718	178523
150	2732	178248
151	2748	178069
152	2766	178019
153	2784	178049
154	2800	177888
155	2815	177648
156	2824	177076
157	2838	176808
158	2853	176611
159	2871	176620
160	2893	176798
161	2910	176766
162	2921	176329
163	2936	176131
164	2948	175774
165	2961	175450
166	2967	174710
167	2981	174503
168	3000	174539
169	3013	174255
170	3033	174345
171	3048	174172
172	3054	173528
173	3058	172738
174	3067	172224
175	3084	172150
176	3098	171984
177	3114	171869
178	3120	171187
179	3134	171016
180	3153	171065
181	3166	170823
182	3181	170687
183	3196	170533
184	3212	170427
185	3224	170133
186	3238	169918
187	3247	169489
188	3254	168945
189	3278	169252
190	3297	169342
191	3311	169144
192	3331	169282
193	3341	168876
194	3355	168709
195	3371	168632
196	3383	168354
197	3399	168305
198	3418	168360
199	3435	168319
200	3437	167592
201	3453	167526
202	3469	167420
203	3485	167377
204	3501	167322
205	3507	166739
206	3508	166005
207	3516	165536
208	3529	165327
209	3550	165544
210	3570	165625
211	3577	165162
212	3594	165173
213	3615	165312
214	3630	165243
215	3644	165086
216	3659	164960
217	3676	164953
218	3687	164682
219	3703	164659
220	3721	164657
221	3739	164708
222	3759	164819
223	3777	164849
224	3791	164738
225	3803	164490
226	3809	163993
227	3823	163876
228	3840	163874
229	3860	164006
230	3880	164125
231	3888	163707
232	3891	163144
233	3901	162820
234	3919	162878
235	3937	162916
236	3954	162883
237	3967	162750
238	3986	162795
239	4005	162876
240	4021	162859
241	4034	162673
242	4053	162738
243	4073	162860
244	4092	162949
245	4107	162865
246	4123	162831
247	4141	162858
248	4162	163016
249	4179	162988
250	4199	163099
251	4222	163328
252	4241	163406
253	4246	162921
254	4268	163142
255	4286	163172
256	4307	163302
257	4333	163630
258	4352	163712
259	4368	163636
260	4383	163560
261	4400	163556
262	4419	163633
263	4434	163522
264	4450	163500
265	4472	163675
266	4482	163412
267	4502	163491
268	4522	163584
269	4543	163722
