iter	RMSE
0	0.7897415871
1	0.7730097493
2	0.7567417656
3	0.7419976343
4	0.7268825929
5	0.7124740017
6	0.6982612355
7	0.6852069643
8	0.6720825862
9	0.6593548308
10	0.6472025288
11	0.6351928867
12	0.6238475284
13	0.6129170168
14	0.6029133725
15	0.5924986627
16	0.5830883429
17	0.5737207422
18	0.5645861429
19	0.55588716
20	0.5476004283
21	0.5395657112
22	0.53194077
23	0.5246470387
24	0.5176680842
25	0.5109370672
26	0.5046271412
27	0.4983919778
28	0.4926034802
29	0.4869077084
30	0.4815772536
31	0.4763827994
32	0.4713448268
33	0.4666305891
34	0.4624256217
35	0.4581276807
36	0.4541213468
37	0.4501404291
38	0.4463724294
39	0.442626478
40	0.4390366078
41	0.4357207943
42	0.4326030546
43	0.4295418335
44	0.4266308894
45	0.4239508658
46	0.4213196571
47	0.4188720767
48	0.4164279365
49	0.4140537218
50	0.4118903319
51	0.4098553224
52	0.407596485
53	0.4055159824
54	0.4036256662
55	0.4017764713
56	0.3999920503
57	0.3983119938
58	0.3965921071
59	0.3950160021
60	0.3934057465
61	0.3919807845
62	0.3905721536
63	0.3892409639
64	0.3880491479
65	0.3868525008
66	0.3857345332
67	0.3845652123
68	0.3835056701
69	0.382489035
70	0.3814456049
71	0.3805718631
72	0.3796940852
73	0.3788639144
74	0.3780369833
75	0.3773146808
76	0.3766172225
77	0.3759384048
78	0.3752597613
79	0.3745598853
80	0.3739457112
81	0.3733043258
82	0.3727681265
83	0.3721906182
84	0.3716521722
85	0.3710840285
86	0.3705967365
87	0.3701120703
88	0.3696521985
89	0.3691338434
90	0.3686619329
91	0.3682576691
92	0.3678006157
93	0.3674553745
94	0.3671188509
95	0.3667299223
96	0.3663641387
97	0.3660486483
98	0.3656968943
99	0.365432522
100	0.3651145202
101	0.3647979768
102	0.3644628842
103	0.3641131366
104	0.363835666
105	0.3634983473
106	0.3632421578
107	0.3629853766
108	0.3626989536
109	0.3623410644
110	0.3621587616
111	0.3619665697
112	0.361724767
113	0.3614851108
114	0.3612403249
115	0.3610748769
116	0.360813022
117	0.3606711621
118	0.3605163599
119	0.360290543
120	0.3601100011
121	0.359945627
122	0.3596697893
123	0.3594699697
124	0.3593049481
125	0.3591059771
126	0.3588544989
127	0.3587082369
128	0.358562868
129	0.3584044693
130	0.3582421747
131	0.3580860448
132	0.3579680106
133	0.3578400822
134	0.3577109415
135	0.3575459942
136	0.3573858995
137	0.3572340987
138	0.3571354158
139	0.357041479
140	0.3569149419
141	0.3567881813
142	0.3566215819
143	0.3564583452
144	0.3562607799
145	0.3561648104
146	0.3559728777
147	0.3558976287
148	0.3558074548
149	0.3556823796
150	0.3555960567
151	0.3555306146
152	0.3553970137
153	0.3552391312
154	0.3550912015
155	0.3550384408
156	0.3549136006
157	0.3547671612
158	0.3546467687
159	0.3544639976
160	0.3543472536
161	0.3542354815
162	0.3540750539
163	0.3539761818
164	0.3538477935
165	0.353833158
166	0.3537308185
167	0.3537051786
168	0.3535806674
169	0.3534365823
170	0.3533137285
171	0.3532764656
172	0.3531935722
173	0.353121588
174	0.3530016186
175	0.3528864732
176	0.3528128813
177	0.3526805162
178	0.3526308871
179	0.3525085838
180	0.3524460739
181	0.3523202277
182	0.3521632408
183	0.3520488298
184	0.3519265568
185	0.3518134748
186	0.3517223276
187	0.3515667871
188	0.3514576793
189	0.3513376257
190	0.3512166949
191	0.3510987708
192	0.351058762
193	0.3509511041
194	0.3508162043
195	0.3507105917
196	0.3505325597
197	0.3505243954
198	0.3503202812
199	0.3502217447
200	0.3501403711
201	0.3500249853
202	0.3498094947
203	0.3496208162
204	0.3495878632
205	0.3494731699
206	0.3493879217
207	0.3491918927
208	0.3490633183
209	0.3489121512
210	0.3488656014
211	0.3487483747
212	0.3485981355
213	0.3484160049
214	0.3483748489
215	0.3482240319
216	0.348091402
217	0.3478534571
218	0.3476882789
219	0.3475745131
220	0.3474231434
221	0.3472617137
222	0.347036896
223	0.3469383381
224	0.3468824179
225	0.346844319
226	0.3467064607
227	0.3465507722
228	0.3463249948
229	0.3462454429
230	0.3461136351
231	0.3459415892
232	0.3458669998
233	0.345761741
234	0.3456954284
235	0.3456281662
236	0.3455333027
237	0.3454614852
238	0.3454025307
239	0.345198648
240	0.3451495093
241	0.3450354225
242	0.3448578768
243	0.3447523911
244	0.3446592129
245	0.3444797699
246	0.3443643865
247	0.3441743111
248	0.3440853314
249	0.3439189979
250	0.3438029826
251	0.3437038532
252	0.3435823607
253	0.3434605365
254	0.3432593356
255	0.3432239968
256	0.3430568736
257	0.342980721
258	0.3428776545
259	0.3427840831
260	0.342674314
261	0.342616612
262	0.3425012775
263	0.3424002294
264	0.3422781219
265	0.3421918732
266	0.3421668249
267	0.3420390536
268	0.3420054436
269	0.3418651582
270	0.3416639803
271	0.3415524766
272	0.3414020569
273	0.3413104567
274	0.3411442668
275	0.3410964774
276	0.3409684857
277	0.3408464474
278	0.3407134921
279	0.3406409821
280	0.3406355029
281	0.340589807
282	0.3405283565
283	0.340477963
284	0.3403689486
285	0.3402592055
286	0.3400833262
287	0.3399788416
288	0.3398969812
289	0.3398286774
290	0.3396709411
291	0.3396002012
292	0.3393973638
293	0.339310152
294	0.3392017825
295	0.3391422126
296	0.3390028929
297	0.3389565679
298	0.3389076782
299	0.338797495
300	0.3386312445
301	0.3385195058
302	0.3384196267
303	0.3382413202
304	0.3381390965
305	0.3380805564
306	0.3379931981
307	0.337936317
308	0.337779713
309	0.3376435922
310	0.3375833524
311	0.3374272198
312	0.3373674993
313	0.3373083591
314	0.3371391667
315	0.3369957305
316	0.3368256551
317	0.3367645966
318	0.3366322377
319	0.336488162
320	0.3364230727
321	0.3362110929
322	0.3361368361
323	0.3360045072
324	0.3358620501
325	0.3357668679
326	0.3356601372
327	0.3354481458
328	0.3353318711
329	0.3352507047
330	0.3351252243
331	0.3350152377
332	0.3349529918
333	0.3348267318
334	0.3347878556
335	0.334688931
336	0.3346331477
337	0.3345410785
338	0.3344427304
339	0.3343816548
340	0.3342749614
341	0.3341625005
342	0.3341097849
343	0.3340106727
344	0.3339613455
345	0.3339026993
346	0.333766928
347	0.3337265804
348	0.3336372605
349	0.333553828
350	0.3334226208
351	0.333321791
352	0.3332492648
353	0.3331271469
354	0.3330263449
355	0.3329800038
356	0.3328842474
357	0.3328379539
358	0.3327578075
359	0.3327078512
360	0.3326326568
361	0.3323614709
362	0.3321407115
363	0.3320481142
364	0.3319263286
365	0.3318156876
366	0.3317484764
367	0.3316151626
368	0.3314832714
369	0.3314260408
370	0.331354291
371	0.3312687382
372	0.3311946762
373	0.3310858224
374	0.3310325747
375	0.3309363124
376	0.3309094122
377	0.3307837851
378	0.3307319365
379	0.3306745567
380	0.3305954678
381	0.3305092588
382	0.330397225
383	0.3302949411
384	0.3302290518
385	0.3301676689
