iter	RMSE
0	1.029749955
1	1.007477057
2	0.9853553829
3	0.9650414741
4	0.9439505044
5	0.9244552189
6	0.9064108404
7	0.8880006364
8	0.8699138079
9	0.8520468163
10	0.8371427486
11	0.8214583893
12	0.805995806
13	0.7905309226
14	0.7755436316
15	0.7612899691
16	0.7476082672
17	0.7342444775
18	0.7206258489
19	0.7075138504
20	0.6953909662
21	0.6837964091
22	0.6722906412
23	0.6614833576
24	0.6506283455
25	0.6403668609
26	0.6311493976
27	0.6214655363
28	0.6123760219
29	0.6034919491
30	0.5954421603
31	0.5870654199
32	0.5789008966
33	0.5713761276
34	0.5640732102
35	0.5567553309
36	0.5495921569
37	0.5430084793
38	0.5365478597
39	0.5309164999
40	0.5250781582
41	0.5193933786
42	0.5143714686
43	0.5093020885
44	0.5045585388
45	0.4996077659
46	0.4952189219
47	0.4907123439
48	0.4864850578
49	0.4824233802
50	0.4786437618
51	0.475027877
52	0.4714663879
53	0.4680043432
54	0.4647500801
55	0.4614850304
56	0.4586839663
57	0.4558887586
58	0.4533160223
59	0.4505568217
60	0.4482427816
61	0.446082158
62	0.4438922518
63	0.4418330961
64	0.4399066838
65	0.4377784962
66	0.4356934489
67	0.4337466955
68	0.4317581709
69	0.4299737601
70	0.4284966906
71	0.4268646119
72	0.425337732
73	0.4239188305
74	0.4225850257
75	0.4211665514
76	0.4199890135
77	0.418646723
78	0.4174142323
79	0.4163016132
80	0.4151617481
81	0.4139611761
82	0.4129951982
83	0.4118954085
84	0.4109792001
85	0.4101179797
86	0.4092008569
87	0.4082889471
88	0.4074270699
89	0.4066387988
90	0.4059027515
91	0.4052487892
92	0.4045335541
93	0.4038772198
94	0.4033289841
95	0.4026625591
96	0.4020988409
97	0.401363747
98	0.4006585041
99	0.4000030915
100	0.3994010511
101	0.3988587364
102	0.3983119796
103	0.3977723036
104	0.3973394288
105	0.3966056856
106	0.3960422229
107	0.3955166725
108	0.3952093958
109	0.3948994723
110	0.3943738212
111	0.393881121
112	0.3933320608
113	0.392985809
114	0.3923216878
115	0.3919161629
116	0.3916940716
117	0.3911778921
118	0.3908625878
119	0.3904744075
120	0.3901777552
121	0.3898328487
122	0.3896487826
123	0.3893291225
124	0.3890598171
125	0.3886605949
126	0.3882759463
127	0.3879060387
128	0.3875266375
129	0.3871989776
130	0.3868446786
131	0.3864685677
132	0.3862355095
133	0.385858503
134	0.3855651958
135	0.3853406206
136	0.3850850422
137	0.3847209109
138	0.384391208
139	0.3841803253
140	0.3838950418
141	0.3836427784
142	0.3833293137
143	0.382779537
144	0.3825733618
145	0.3824815627
146	0.3820937231
147	0.381848124
148	0.3813958443
149	0.3811626856
150	0.3809234319
151	0.3805541472
152	0.3801452887
153	0.3799265591
154	0.3798643329
155	0.3797777079
156	0.3796811545
157	0.3796220678
158	0.3793199852
159	0.3791911841
160	0.3790724914
161	0.3786614849
162	0.3784193651
163	0.3781481887
164	0.3778183487
165	0.3775357327
166	0.3774875293
167	0.3774399635
168	0.377257664
169	0.3770565398
170	0.3769634501
171	0.3767613199
172	0.3765298031
173	0.3761025782
174	0.3759840914
175	0.3757165852
176	0.3755287171
177	0.3751203839
178	0.3749474477
179	0.3748981016
180	0.3747843417
181	0.374754542
182	0.3746955016
183	0.3745505645
184	0.3742764
185	0.3742418741
186	0.3740315685
187	0.3736954603
188	0.3736479511
189	0.3732155581
190	0.3727164415
191	0.3722583945
192	0.3722376751
193	0.3720440701
194	0.3718590262
195	0.3715825213
196	0.3715352592
197	0.3711664889
198	0.3709646996
199	0.370936587
200	0.370520571
201	0.3702750445
202	0.3700285436
203	0.3698515199
204	0.3698173228
205	0.3698067787
206	0.3694303267
207	0.3691078918
208	0.3688526745
209	0.3686748694
210	0.3684598896
211	0.3683508729
212	0.3681294891
213	0.3679385478
214	0.36761401
215	0.3673351535
216	0.3672074166
217	0.3668992024
218	0.366875553
219	0.3666848002
220	0.3664581046
221	0.3660988889
222	0.3656868909
223	0.3655387619
224	0.3653622302
225	0.3650849609
226	0.3650714884
227	0.3649963866
228	0.3648079803
229	0.364553188
230	0.3643178658
231	0.3640851519
232	0.363952422
233	0.3639174839
234	0.3638505226
235	0.3635478187
236	0.3633621181
237	0.3631103704
238	0.3627254213
239	0.3624972068
240	0.362394781
241	0.3622335883
242	0.3620154944
243	0.3617600523
244	0.3615573395
245	0.361330806
246	0.3611804077
247	0.360739482
248	0.3605314484
249	0.3603124766
250	0.360299484
251	0.360083617
252	0.3598097758
253	0.3595725079
254	0.3592615169
255	0.3592401236
256	0.3590667582
257	0.3588010148
258	0.3584744059
259	0.3581932532
260	0.3580089777
261	0.3578326683
262	0.3575441827
263	0.3572377066
264	0.3569821784
265	0.3568060194
266	0.3565259769
267	0.3563738728
268	0.3560515758
269	0.3557606066
270	0.355455657
