iter	RMSE
0	5.248316027
1	5.052155688
2	4.867062055
3	4.695021658
4	4.531496931
5	4.377460348
6	4.235053512
7	4.100688601
8	3.974028197
9	3.856041932
10	3.745179735
11	3.641866014
12	3.545255508
13	3.453814695
14	3.370249302
15	3.293281371
16	3.22059465
17	3.152986975
18	3.090236928
19	3.03078243
20	2.977196912
21	2.926598806
22	2.880426821
23	2.837485698
24	2.796140009
25	2.759322485
26	2.725251362
27	2.692607309
28	2.663934912
29	2.637408593
30	2.611733618
31	2.588142228
32	2.566647118
33	2.546338923
34	2.528128438
35	2.510725139
36	2.495042843
37	2.481349248
38	2.467999897
39	2.45575496
40	2.442701556
41	2.432011931
42	2.422468368
43	2.411799829
44	2.403701076
45	2.395621534
46	2.388158911
47	2.381390454
48	2.373215452
49	2.365762773
50	2.360466789
51	2.355303136
52	2.350245588
53	2.344189982
54	2.339125371
55	2.334695817
56	2.330349974
57	2.324629883
58	2.320163505
59	2.316271636
60	2.311328604
61	2.307934151
62	2.303164623
63	2.298678081
64	2.295930895
65	2.293173958
66	2.290586329
67	2.287845107
68	2.28530113
69	2.28194523
70	2.277783621
71	2.275415808
72	2.272892112
73	2.269450108
74	2.267643151
75	2.26420466
76	2.262103755
77	2.259836908
78	2.258244995
79	2.256041736
80	2.254562009
81	2.251658342
82	2.249074705
83	2.247731839
84	2.246167948
85	2.24456038
86	2.242829072
87	2.240965296
88	2.239145672
89	2.237754129
90	2.236037915
91	2.234134381
92	2.232518425
93	2.230652628
94	2.228405245
95	2.225724942
96	2.224542076
97	2.223587905
98	2.222203765
99	2.220229582
100	2.21811252
101	2.216026638
102	2.214371326
103	2.213298657
104	2.212518583
105	2.211332511
106	2.210727708
107	2.209460038
108	2.208755349
109	2.207250655
110	2.206429575
111	2.205281895
112	2.204783412
113	2.20367837
114	2.20273022
115	2.201771076
116	2.201036276
117	2.199758057
118	2.1990636
119	2.197486408
120	2.196537414
121	2.195291853
122	2.194495679
123	2.193637683
124	2.192851071
125	2.190964766
126	2.189793111
127	2.188763381
128	2.18801926
129	2.186443759
130	2.185383233
131	2.184170716
132	2.183549828
133	2.183075658
134	2.182452723
135	2.180893018
136	2.179687742
137	2.178736351
138	2.177368714
139	2.17638159
140	2.175046992
141	2.173751639
142	2.173118446
143	2.172402162
144	2.171831017
145	2.171067581
146	2.170404346
147	2.169063656
148	2.168196889
149	2.167249689
150	2.166819878
151	2.166215185
152	2.165376536
153	2.164366369
154	2.163663426
155	2.162509234
156	2.161383341
157	2.160829221
158	2.159767476
159	2.159057292
160	2.157787091
161	2.15669263
162	2.156011964
163	2.155378568
164	2.154414031
165	2.153948989
166	2.152792097
167	2.152356635
168	2.151785759
169	2.151296665
170	2.15061922
171	2.150095687
172	2.148755838
173	2.148374671
174	2.147622448
175	2.146914355
176	2.145910288
177	2.144998845
178	2.144418789
179	2.143898494
180	2.14322425
181	2.142540506
182	2.141660593
183	2.140939885
184	2.140093278
185	2.139613907
