run_timestamp,scale_tag,train_file,test_file,output_file,report_metric_space,use_log_target,split_mode,train_size,valid_size,train_time_range,valid_time_range,rent_best_iteration,rent_validation_rmse_objective,rent_final_validation_rmse,rent_training_seconds,rent_top_features,return_best_iteration,return_validation_rmse_objective,return_final_validation_rmse,return_training_seconds,return_top_features,cb_loss_function,cb_eval_metric,cb_learning_rate,cb_depth,cb_l2_leaf_reg,cb_random_seed,cb_task_type,cb_devices,cb_od_type,cb_od_wait,cb_iterations,cb_log_eval_period,train_valid_test_size,train_valid_random_state,categorical_features
auto_cb_20260415_154616_001,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154616_001/prediction_CB_scale_all_auto_cb_20260415_154616_001.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,307,0.3902762676336902,0.3902762456725289,8.655,rent_mean_7d:51.086028; normal_power_bike_count:10.579913; return_mean_7d:8.718759; h3:4.778220; hour:4.669088,268,0.4037819858756346,0.4037819782684561,7.543,return_mean_7d:61.306192; rent_mean_7d:8.949127; h3:6.891711; hour:3.899646; normal_power_bike_count:3.515337,RMSE,RMSE,0.015,8,3.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_154636_002,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154636_002/prediction_CB_scale_all_auto_cb_20260415_154636_002.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,307,0.3904328365268191,0.3904328453883269,7.77,rent_mean_7d:51.019529; normal_power_bike_count:10.557572; return_mean_7d:8.772240; h3:4.743273; hour:4.691402,268,0.4037819858756346,0.4037819782684561,8.435,return_mean_7d:61.306192; rent_mean_7d:8.949127; h3:6.891711; hour:3.899646; normal_power_bike_count:3.515337,RMSE,RMSE,0.015,8,3.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_154655_003,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154655_003/prediction_CB_scale_all_auto_cb_20260415_154655_003.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,304,0.3909744454068246,0.390974475465977,7.682,rent_mean_7d:51.172604; normal_power_bike_count:10.642847; return_mean_7d:8.833987; h3:4.680031; hour:4.613412,271,0.4041908714777913,0.40419083298881164,8.387,return_mean_7d:61.155415; rent_mean_7d:8.888314; h3:6.933624; hour:3.910949; day_of_week:3.466399,RMSE,RMSE,0.015,8,4.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_154714_004,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154714_004/prediction_CB_scale_all_auto_cb_20260415_154714_004.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,304,0.3909744454068246,0.390974475465977,6.681,rent_mean_7d:51.172604; normal_power_bike_count:10.642847; return_mean_7d:8.833987; h3:4.680031; hour:4.613412,271,0.4041908714777913,0.40419083298881164,8.426,return_mean_7d:61.155415; rent_mean_7d:8.888314; h3:6.933624; hour:3.910949; day_of_week:3.466399,RMSE,RMSE,0.015,8,4.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_154732_005,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154732_005/prediction_CB_scale_all_auto_cb_20260415_154732_005.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,307,0.39045953562270624,0.3904595001712648,6.25,rent_mean_7d:51.053060; normal_power_bike_count:10.742704; return_mean_7d:8.809611; h3:4.743945; hour:4.612769,268,0.4041336421365152,0.4041336173156091,7.638,return_mean_7d:61.281781; rent_mean_7d:8.884128; h3:6.825197; hour:3.905451; day_of_week:3.561364,RMSE,RMSE,0.015,8,5.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_154748_006,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154748_006/prediction_CB_scale_all_auto_cb_20260415_154748_006.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,307,0.39045953562270624,0.3904595001712648,6.888,rent_mean_7d:51.053060; normal_power_bike_count:10.742704; return_mean_7d:8.809611; h3:4.743945; hour:4.612769,268,0.4041336421365152,0.4041336173156091,7.43,return_mean_7d:61.281781; rent_mean_7d:8.884128; h3:6.825197; hour:3.905451; day_of_week:3.561364,RMSE,RMSE,0.015,8,5.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_154805_007,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154805_007/prediction_CB_scale_all_auto_cb_20260415_154805_007.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,276,0.3900077306783435,0.39000775225013096,7.262,rent_mean_7d:47.463734; normal_power_bike_count:11.005795; return_mean_7d:8.518029; h3:5.252772; hour:5.232585,251,0.40361050701747697,0.4036104845780555,8.487,return_mean_7d:57.072028; h3:7.982080; rent_mean_7d:7.256364; hour:5.006693; day_of_week:4.083058,RMSE,RMSE,0.015,9,3.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_154824_008,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154824_008/prediction_CB_scale_all_auto_cb_20260415_154824_008.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,266,0.3905453156293224,0.3905453406042489,7.843,rent_mean_7d:47.771863; normal_power_bike_count:10.709104; return_mean_7d:8.511624; h3:5.147626; hour:5.068923,262,0.40369800894641217,0.4036980020030129,8.258,return_mean_7d:56.350100; h3:7.922513; rent_mean_7d:7.314070; hour:5.101586; day_of_week:4.538186,RMSE,RMSE,0.015,9,3.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
auto_cb_20260415_154843_009,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154843_009/prediction_CB_scale_all_auto_cb_20260415_154843_009.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,270,0.3901276632511096,0.3901276979735839,7.669,rent_mean_7d:47.941929; normal_power_bike_count:10.579459; return_mean_7d:8.448016; h3:5.208335; hour:5.120998,250,0.4037744424791989,0.4037744142969924,8.547,return_mean_7d:57.187726; h3:7.908230; rent_mean_7d:7.270004; hour:4.976795; day_of_week:4.407994,RMSE,RMSE,0.015,9,4.0,42,GPU,0:1,Iter,15,3000,5,0.2,42,h3
auto_cb_20260415_154902_010,all,battery_swapping_routing_data_train_time70.csv,battery_swapping_routing_data_valid_time30.csv,Training_Results_CatBoost/auto_cb_20260415_154902_010/prediction_CB_scale_all_auto_cb_20260415_154902_010.csv,log,True,time,546336,136584,2025-09-10 00:00:00 -> 2025-10-14 19:00:00,2025-10-14 19:00:00 -> 2025-10-23 11:00:00,270,0.3901276632511096,0.3901276979735839,6.779,rent_mean_7d:47.941929; normal_power_bike_count:10.579459; return_mean_7d:8.448016; h3:5.208335; hour:5.120998,281,0.4037601875542037,0.4037601458857953,8.748,return_mean_7d:55.244809; h3:7.977279; rent_mean_7d:7.121869; hour:5.254628; day_of_week:4.742764,RMSE,RMSE,0.015,9,4.0,42,GPU,0:1,Iter,30,3000,5,0.2,42,h3
